施設名,郵便番号,所在地,緯度,経度,座標系,電話番号
国立オリンピック記念青少年総合センター,151-0052,渋谷区代々木神園町３－1,35.67181671,139.6970502,JGD２０１１,03-3469-2525
Ｂｕｍｂ東京スポーツ文化館,136-0081,江東区夢の島２－１－３,35.64877474,139.8347164,JGD２０１１,03-3521-7321
高尾の森わくわくビレッジ,193-0821,八王子市市川町55,35.67045013,139.2798417,JGD２０１１,042-652-0911
