区市町村,青少年関係機関名称,構成,〒,行政主管課所在地,部署,電話,,
千代田区,青少年問題協議会,（40委員）,〒102-8688,千代田区九段南1-2-1,千代田区教育委員会事務局子ども部子ども総務課,（5211）4274（直通）,,
千代田区,青少年対策地区委員会,（４地区・102委員）,〒102-8688,千代田区九段南1-2-1,千代田区教育委員会事務局子ども部子ども総務課,（5211）4274（直通）,,
中央区,青少年問題協議会,（56委員）,〒104-8404,中央区築地1-1-1,中央区区民部文化・生涯学習課青少年係,（3546）5304（直通）,,
中央区,補導連絡会,（４地区・208委員）,〒104-8404,中央区築地1-1-1,中央区区民部文化・生涯学習課青少年係,（3546）5304（直通）,,
中央区,青少年対策地区委員会,（19地区・931委員）,〒104-8404,中央区築地1-1-1,中央区区民部文化・生涯学習課青少年係,（3546）5304（直通）,,
港区,青少年問題協議会,（32委員）,〒105-8511,港区芝公園1-5-25,港区子ども家庭支援部子ども家庭課青少年育成担当,（3578）2435（直通）,,
港区,青少年対策地区委員会,（10地区・736委員）,〒105-8511,港区芝公園1-5-25,港区子ども家庭支援部子ども家庭課青少年育成担当,（3578）2435（直通）,,
新宿区,次世代育成協議会,（44委員）,〒160-8484,新宿区歌舞伎町1-4-1,新宿区子ども家庭部子ども家庭課企画係,（5273）4261（直通）,,
新宿区,地区青少年育成委員会,（10地区・912委員）,〒160-8484,新宿区歌舞伎町1-4-1,新宿区子ども家庭部子ども家庭課企画係,（5273）4261（直通）,,
文京区,青少年問題協議会,（43委員）,〒112-8555,文京区春日1-16-21,文京区教育委員会教育推進部児童青少年課青少年係,（5803）1186（直通）,,
文京区,青少年健全育成会,（９地区・750委員）,〒112-8555,文京区春日1-16-21,文京区教育委員会教育推進部児童青少年課青少年係,（5803）1186（直通）,,
台東区,青少年問題協議会,（38委員）,〒110-8615,台東区東上野4-5-6  台東区役所 6F,台東区区民部子育て・若者支援課青少年担当,（5246）1341（直通）,,
台東区,青少年育成地区委員会,（11地区・659委員）,〒110-8615,台東区東上野4-5-6  台東区役所 6F,台東区区民部子育て・若者支援課青少年担当,（5246）1341（直通）,,
墨田区,青少年問題協議会,（41委員）,〒130-8640,墨田区吾妻橋1-23-20,墨田区教育委員会事務局地域教育支援課地域教育支援担当,（5608）6503（直通）,,
墨田区,地区青少年育成委員会,"（10地区・1,300委員）",〒130-8640,墨田区吾妻橋1-23-20,墨田区教育委員会事務局地域教育支援課地域教育支援担当,（5608）6503（直通）,,
江東区,青少年問題協議会,（48委員）,〒135-8383,江東区東陽4-11-28,江東区地域振興部青少年課青少年係,(3647)9813,,
江東区,青少年対策地区委員会,（９地区・557委員）　,〒135-8383,江東区東陽4-11-28,江東区地域振興部青少年課地域連携係,(3647)9629 ,,
品川区,青少年問題協議会,（52委員）,〒140-8715,品川区広町2-1-36,品川区子ども未来部子ども育成課庶務係,（5742）6720（直通）,,
品川区,青少年対策地区委員会,（13地区・874委員）,〒140-8715,品川区広町2-1-36,品川区地域振興部地域活動課地域支援係,（5742）6690（直通）,,
目黒区,青少年問題協議会,（29委員）,〒153-8573,目黒区上目黒2-19-15,目黒区教育委員会事務局生涯学習課青少年係,（5722）9309（直通）,,
目黒区,住区青少年部,（22地区・399委員）,〒153-8573,目黒区上目黒2-19-15,目黒区教育委員会事務局生涯学習課青少年係,（5722）9309（直通）,,
大田区,青少年問題協議会,（28委員）,〒144-8621,大田区蒲田5-13-14,大田区地域力推進部地域力推進課青少年担当,（5744）1223（直通）,,
大田区,青少年対策地区委員会,"（18地区・1,162委員）",〒144-8621,大田区蒲田5-13-14,大田区地域力推進部地域力推進課青少年担当,（5744）1223（直通）,,
世田谷区,子ども・青少年協議会,（26委員）,〒154-8504,世田谷区世田谷4-21-27,世田谷区子ども・若者部若年支援担当課,（5432）2585（直通）,,
世田谷区,補導連絡会,（４地区・194委員）,〒154-8504,世田谷区世田谷4-21-27,世田谷区子ども・若者部若年支援担当課,（5432）2585（直通）,,
世田谷区,青少年地区委員会,"（29地区・1,417委員）",〒154-8504,世田谷区世田谷4-21-27,世田谷区子ども・若者部若年支援担当課,（5432）2585（直通）,,
渋谷区,青少年問題協議会,（37委員）,〒150-8010,渋谷区宇田川町1-1,渋谷区子ども家庭部子ども青少年課子ども青少年育成係,（3463）2578（直通）,,
渋谷区,青少年対策地区委員会,（11地区・412委員）,〒150-8010,渋谷区宇田川町1-1,渋谷区子ども家庭部子ども青少年課子ども青少年育成係,（3463）2578（直通）,,
中野区,補導連絡会,（205委員）,〒164-8501,中野区中野4-8-1,中野区子ども教育部育成活動推進課育成活動支援係,（3228）5648（直通）,,
中野区,青少年育成地区委員会,(14地区・794委員),〒164-8501,中野区中野4-8-1,中野区子ども教育部育成活動推進課育成活動支援係,（3228）5648（直通）,,
杉並区,青少年問題協議会,（20委員）,〒167-0051,杉並区荻窪1-56-3,杉並区子ども家庭部児童青少年課管理係,（3393）4760,,
杉並区,青少年育成委員会,（17地区・965委員）,〒167-0051,杉並区荻窪1-56-3,杉並区子ども家庭部児童青少年課青少年係,（3393）4760,,
豊島区,青少年問題協議会,（24委員）,〒171-8422,豊島区南池袋2-45-1,豊島区子ども家庭部子ども若者課管理グループ,（4566）2471（直通）,,
豊島区,地区青少年育成委員会,（12地区・501委員）,〒171-8422,豊島区南池袋2-45-1,豊島区子ども家庭部子ども若者課管理グループ,（4566）2471（直通）,,
北区,青少年問題協議会,（52委員）,〒114-8546,北区滝野川2-52-10,北区教育委員会事務局教育振興部生涯学習・学校地域連携課,（3908）9323（直通）,,
北区,青少年地区委員会,"（19地区・2,023委員）",〒114-8546,北区滝野川2-52-10,北区教育委員会事務局教育振興部生涯学習・学校地域連携課,（3908）9323（直通）,,
荒川区,青少年問題協議会,（38委員）,〒116-8501,荒川区荒川2-2-3,荒川区子育て支援部児童青少年課青少年育成係,（3802）3814（直通）,,
荒川区,青少年育成地区委員会,（５地区・590委員）,〒116-8501,荒川区荒川2-2-3,荒川区子育て支援部児童青少年課青少年育成係,（3802）3814（直通）,,
板橋区,青少年問題協議会,（30人以内）,〒173-8501,板橋区板橋2-66-1,板橋区教育委員会事務局地域教育力推進課青少年係,（3579）2488（直通）,,
板橋区,青少年健全育成地区委員会,"（18地区・2,217委員）",〒173-8501,板橋区板橋2-66-1,板橋区教育委員会事務局地域教育力推進課青少年係,（3579）2488（直通）,,
練馬区,青少年問題協議会,（36委員）,〒176-8501,練馬区豊玉北6-12-1,練馬区教育委員会事務局こども家庭部青少年課青少年係,（5984）4691（直通）,,
練馬区,青少年育成地区委員会,"（17地区・2,265委員）",〒176-8501,練馬区豊玉北6-12-1,練馬区教育委員会事務局こども家庭部青少年課青少年係,（5984）4691（直通）,,
足立区,青少年問題協議会,（63委員）,〒120-0011,足立区中央本町1-17-1,足立区教育委員会事務局子ども家庭部青少年課管理調整係,（3880）5264（直通）,,
足立区,青少年対策地区委員会,"（25地区・1,671委員）",〒120-0011,足立区中央本町1-17-1,足立区教育委員会事務局子ども家庭部青少年課管理調整係,（3880）5264（直通）,,
葛飾区,青少年問題協議会,（43委員）,〒124-8555,葛飾区立石5-13-1,葛飾区教育委員会事務局地域教育課青少年育成係,（5654）8482（直通）,,
葛飾区,青少年育成地区委員会,"（19地区・1,741委員）",〒124-8555,葛飾区立石5-13-1,葛飾区教育委員会事務局地域教育課青少年育成係,（5654）8482（直通）,,
江戸川区,青少年問題協議会,（28委員）,〒132-8501,江戸川区中央1-4-1,江戸川区文化共育部健全育成課青少年係,（5662）1629（直通）,,
江戸川区,青少年育成地区委員会,"（17地区・1,589委員）",〒132-8501,江戸川区中央1-4-1,江戸川区文化共育部健全育成課青少年係,（5662）1629（直通）,,
八王子市,青少年問題協議会,（24委員）,〒192-8501,八王子市元本郷町3-24-1,八王子市子ども家庭部児童青少年課,042（620）7435（直通）,,
八王子市,青少年対策地区委員会,"（37地区・2,636委員）",〒192-8501,八王子市元本郷町3-24-1,八王子市子ども家庭部児童青少年課,042（620）7435（直通）,,
立川市,青少年問題協議会,（40委員）,〒190-8666,立川市泉町1156-9,立川市子ども家庭部子ども育成課青少年係,042（528）4367（直通）,,
立川市,補導連絡会,（９地区・254委員）,〒190-8666,立川市泉町1156-9,立川市子ども家庭部子ども育成課青少年係,042（528）4367（直通）,,
立川市,青少年対策地区委員会,（12地区・836委員）,〒190-8666,立川市泉町1156-9,立川市子ども家庭部子ども育成課青少年係,042（528）4367（直通）,,
武蔵野市,青少年問題協議会,（30委員）,〒180-8777,武蔵野市緑町2-2-28,武蔵野市子ども家庭部児童青少年課児童青少年係,0422（60）1853（直通）,,
武蔵野市,青少年問題協議会地区委員会,"（12地区・1,425委員）",〒180-8777,武蔵野市緑町2-2-28,武蔵野市子ども家庭部児童青少年課児童青少年係,0422（60）1853（直通）,,
三鷹市,青少年問題協議会,（18委員）,〒181-8555,三鷹市野崎1-1-1,三鷹市子ども政策部児童青少年課,0422(45)1151内2711～4,,
三鷹市,補導連絡会,（１地区・62委員）,〒181-8555,三鷹市野崎1-1-1,三鷹市子ども政策部児童青少年課,0422(45)1151内2711～4,,
三鷹市,青少年対策地区委員会,（15地区・861委員）,〒181-8555,三鷹市野崎1-1-1,三鷹市子ども政策部児童青少年課,0422(45)1151内2711～4,,
青梅市,青少年問題協議会,（25委員）,〒198-8701,青梅市東青梅1-11-1,青梅市子ども家庭部子ども家庭支援課青少年担当,0428（22）1111内2395,,
青梅市,補導連絡会,（１地区・15委員）,〒198-8701,青梅市東青梅1-11-1,青梅市子ども家庭部子ども家庭支援課青少年担当,0428（22）1111内2395,,
青梅市,青少年対策地区委員会,（11地区・419委員）,〒198-8701,青梅市東青梅1-11-1,青梅市子ども家庭部子ども家庭支援課青少年担当,0428（22）1111内2395,,
府中市,青少年問題協議会,（28委員）,〒183-8703,府中市宮西町2-24,府中市子ども家庭部児童青少年課青少年係,042（335）4427（直通）,,
府中市,青少年対策地区委員会,（11地区・641委員）,〒183-8703,府中市宮西町2-24,府中市子ども家庭部児童青少年課青少年係,042（335）4427（直通）,,
昭島市,青少年問題協議会,（23委員）,〒196-8511,昭島市田中町1-17-1,昭島市子ども家庭部子ども育成課青少年係,042（544）5111 内2254・2255,,
昭島市,補導連絡会,（６地区・180委員）,〒196-8511,昭島市田中町1-17-1,昭島市子ども家庭部子ども育成課青少年係,042（544）5111 内2254・2255,,
昭島市,青少年とともにあゆむ地区委員会,（19地区・960委員）,〒196-8511,昭島市田中町1-17-1,昭島市子ども家庭部子ども育成課青少年係,042（544）5111 内2254・2255,,
調布市,青少年問題協議会,（14委員）,〒182-8511,調布市小島町2-35-1,調布市子ども生活部児童青少年課,042（481）7536（直通）,,
調布市,補導連絡会,（52委員）,〒182-8511,調布市小島町2-35-1,調布市子ども生活部児童青少年課,042（481）7536（直通）,,
調布市,健全育成推進地区委員会,（20地区・590委員）,〒182-8511,調布市小島町2-35-1,調布市子ども生活部児童青少年課,042（481）7536（直通）,,
町田市,青少年健全育成地区委員会,"（24地区・1,581委員）",〒194-8520,町田市森野2-2-22,町田市子ども生活部児童青少年課青少年係,042（724）4097（直通）,,
小金井市,青少年問題協議会,（25委員）,〒184-8504,小金井市本町6-6-3,小金井市子ども家庭部児童青少年課児童青少年係,042（387）9847（直通）,,
小金井市,青少年対策地区委員会,（６地区・241委員）,〒184-8504,小金井市本町6-6-3,小金井市子ども家庭部児童青少年課児童青少年係,042（387）9847（直通）,,
小平市,青少年問題協議会,（17委員）,〒187-8701,小平市小川町2-1333,小平市子ども家庭部子育て支援課子ども・若者支援担当,042（346）9815（直通）,,
小平市,青少年対策地区委員会,"（19地区・1,291委員）",〒187-8701,小平市小川町2-1333,小平市教育委員会教育部地域学習支援課事業推進担当,042（346）9834（直通）,,
日野市,青少年問題協議会,,〒191-8686,日野市神明1-12-1,日野市子ども部子育て課地域青少年係,042（514）8579（直通）,,
日野市,地区青少年育成会,（８地区・477委員）,〒191-8686,日野市神明1-12-1,日野市子ども部子育て課地域青少年係,042（514）8579（直通）,,
東村山市,青少年問題協議会,（19委員）,〒189-8501,東村山市本町1-2-3,東村山市教育部社会教育課社会教育係,042（393）5111内3514,,
東村山市,青少年対策地区委員会,（７地区・629委員）,〒189-8501,東村山市本町1-2-3,東村山市教育部社会教育課社会教育係,042（393）5111内3514,,
国分寺市,青少年問題協議会,（12委員）,〒185-8501,国分寺市戸倉1-6-1,国分寺市子ども家庭部子ども若者計画課,042（325）0111内390,,
国分寺市,青少年育成地区委員会,（５地区・162委員）,〒185-8501,国分寺市戸倉1-6-1,国分寺市子ども家庭部子ども若者計画課,042（325）0111内390,,
国立市,青少年育成地区委員会,（８地区・299委員）,〒186-8501,国立市富士見台2-47-1,国立市子ども家庭部児童青少年課児童・青少年係,042（576）2111内195,,
福生市,青少年問題協議会,（25委員）,〒197-8501,福生市本町5,福生市子ども家庭部子ども育成課子ども育成係,042（551）1733（直通）,,
福生市,青少年育成地区委員会,（31地区・465委員）,〒197-8501,福生市本町5,福生市教育委員会教育部生涯学習推進課地域教育支援係,042（551）1958（直通）,,
狛江市,青少年問題協議会,（30委員）,〒201-8585,狛江市和泉本町1-1-5,狛江市児童青少年部児童青少年課児童青少年係,03（3430）1281(直通),,
狛江市,青少年育成委員会,（４地区・161委員）,〒201-8585,狛江市和泉本町1-1-5,狛江市児童青少年部児童青少年課児童青少年係,03（3430）1281(直通),,
東大和市,青少年問題協議会,（15委員）,〒207-8585,東大和市中央3-930,東大和市子育て支援部青少年課青少年育成係,042（563）2111内1742,,
東大和市,青少年対策地区委員会,（10地区・530委員）,〒207-8585,東大和市中央3-930,東大和市子育て支援部青少年課青少年育成係,042（563）2111内1742,,
