"施設名","年度","宿泊利用人員 大人[人]","宿泊利用人員 小人[人]","定員[人]","利用率[%]","部屋数","部屋利用率[%]"
"伊豆稲取 稲取東海ホテル湯苑","2013","163","18","10","45.3","2","93.8"
"伊豆稲取 稲取東海ホテル湯苑","2014","165","18","10","45.8","2","85.0"
"伊豆稲取 稲取東海ホテル湯苑","2015","179","30","10","52.3","2","86.3"
"伊豆稲取 稲取東海ホテル湯苑","2016","175","24","10","49.8","2","88.8"
"伊豆稲取 稲取東海ホテル湯苑","2017","197","29","10","56.5","2","93.8"
"熱川 熱川プリンスホテル","2016","165","28","10","48.3","2","85.0"
"熱川 熱川プリンスホテル","2017","200","29","10","57.3","2","93.8"
"安房鴨川 鴨川グランドホテル","2013","210","36","10","61.5","2","96.3"
"安房鴨川 鴨川グランドホテル","2014","177","30","10","51.8","2","87.5"
"安房鴨川 鴨川グランドホテル","2015","176","43","10","54.8","2","93.8"
"安房鴨川 鴨川グランドホテル","2016","194","26","10","55.0","2","88.8"
"鬼怒川 鬼怒川グランドホテル 夢の季","2013","191","13","10","51.0","2","97.5"
"鬼怒川 鬼怒川グランドホテル 夢の季","2014","158","13","10","42.8","2","82.5"
"鬼怒川 鬼怒川グランドホテル 夢の季","2015","162","12","10","43.5","2","82.5"
"鬼怒川 鬼怒川グランドホテル 夢の季","2016","152","17","10","42.3","2","75.0"
"鬼怒川 鬼怒川グランドホテル 夢の季","2017","179","16","10","48.8","2","93.8"
"犬吠崎 犬吠崎ホテル","2015","157","13","10","42.5","2","81.3"
"熱海 ホテルニューアカオ","2013","195","54","10","62.3","2","97.5"
"熱海 ホテルニューアカオ","2014","200","76","10","69.0","2","98.8"
"熱海 ホテルニューアカオ","2015","187","61","10","62.0","2","93.8"
"熱海 ホテルニューアカオ","2016","172","61","10","58.3","2","91.3"
"熱海 ホテルニューアカオ","2017","165","38","10","50.8","2","86.3"
"川治湯元 湯けむりの里 柏屋","2013","157","19","10","44.0","2","93.8"
"川治湯元 湯けむりの里 柏屋","2014","153","19","10","43.0","2","80.0"
"川治湯元 湯けむりの里 柏屋","2015","171","18","10","47.3","2","88.8"
"川治湯元 湯けむりの里 柏屋","2016","164","25","10","47.3","2","87.5"
"川治湯元 湯けむりの里 柏屋","2017","184","11","10","48.8","2","85.0"
"磯部温泉 ホテル磯部ガーデン","2013","178","18","10","50.9","2","90.9"
"舞浜 ホテルオークラ東京ベイ","2013","174","22","8","61.3","2","97.5"
"舞浜 ホテルオークラ東京ベイ","2014","162","13","8","54.7","2","88.8"
"舞浜 ホテルオークラ東京ベイ","2015","159","14","8","54.1","2","90.0"
"舞浜 ホテルオークラ東京ベイ","2016","158","10","8","52.5","2","88.8"
"舞浜 ホテルオークラ東京ベイ","2017","152","13","8","51.6","2","90.0"
"春日居 ホテル春日居","2013","197","14","10","52.8","2","97.5"
"春日居 ホテル春日居","2014","185","36","10","55.3","2","93.8"
"春日居 ホテル春日居","2015","196","28","10","56.0","2","88.8"
"春日居 ホテル春日居","2016","189","25","10","53.5","2","88.8"
"春日居 ホテル春日居","2017","169","33","10","50.5","2","85.0"
"箱根湯本 箱根路 開雲","2014","198","7","10","51.3","2","100"
"箱根湯本 箱根路 開雲","2015","166","9","10","43.8","2","87.5"
"箱根湯本 箱根路 開雲","2016","164","13","10","44.3","2","85.0"
"箱根湯本 箱根路 開雲","2017","146","9","10","38.8","2","76.3"
"安房小湊 満ちてくる心の宿 吉夢","2017","177","31","10","52.0","2","91.3"

"平成30年度港区行政資料集　施設利用状況一覧 夏季保養施設","Ver201803",,,,,,
