"年度","区分","芝地区（芝）[人]","麻布地区（南麻布）[人]","赤坂地区（北青山）[人]","高輪地区（白金の森）[人]","芝浦港南地区（港南の郷）[人]","合計[人]"
"2015","訪問","2788","4374","2033","4250","2303","15748"
"2015","電話","2956","5966","8769","9074","8614","35379"
"2015","来所","699","1501","3108","1367","1456","8131"
"2015","文書","40","21","65","92","269","487"
"2015","その他","80","27","4","20","1","132"
"2015","合計","6563","11889","13979","14803","12643","59877"
"2016","訪問","3014","3441","2409","3409","2510","14783"
"2016","電話","2662","6003","8436","9842","8269","35212"
"2016","来所","1254","1798","2573","1480","1431","8536"
"2016","文書","41","187","81","53","268","630"
"2016","その他","198","7","18","58","0","281"
"2016","合計","7169","11436","13517","14842","12478","59442"
"2017","訪問","4204","3469","2504","3084","2359","15620"
"2017","電話","2630","5786","7879","10946","8297","35538"
"2017","来所","1254","1746","2631","1497","1708","8836"
"2017","文書","40","403","431","67","268","1209"
"2017","その他","198","0","1","96","0","295"
"2017","合計","8326","11404","13446","15690","12632","61498"
"2018","訪問","4746","3801","2612","2692","5174","19025"
"2018","電話","2828","5041","7201","9643","9415","34128"
"2018","来所","1047","1798","2245","1553","1771","8414"
"2018","文書","144","72","4611","3914","447","9188"
"2018","その他","28","5","15","41","0","89"
"2018","合計","8793","10717","16684","17843","16807","70844"
"2019","訪問","5892","3820","1376","2512","4646","18246"
"2019","電話","3652","5635","6026","8219","9565","33097"
"2019","来所","1467","1810","2039","1879","1539","8734"
"2019","文書","602","108","4012","4994","495","10211"
"2019","その他","81","18","6","84","0","189"
"2019","合計","11694","11391","13459","17688","16245","70477"

"令和2年度港区行政資料集　高齢者相談センター（地域包括支援センター）相談方法別件数","Ver202003",,,,,,
