"区分","面積[平法キロメートル]","人口[人]","世帯数","全産業事業所数","全産業従業者数[人]","公道延長[メートル]","公園面積[平法メートル]","１人当たり公園面積[平法メートル]","新設着工住宅戸数","令和元年度 特別区税額[円]","令和元年度 財調収入[円]"
"23区総計","627.53","9562778","5279359","526748","8066791","11976665","42106854.14","4.35","110020","1125175889000","1043762891000"
"千代田","11.66","67210","37891","34250","1038143","175573","1709388.65","25.74","762","21648748000","3650460000"
"中央","10.21","171428","96825","37869","756052","194262","626536.90","3.71","5039","31882792000","15034821000"
"港","20.37","258443","146804","39375","1014842","303739","1407454.98","5.39","5064","86173095000","0"
"新宿","18.22","343665","218901","33602","693036","356822","1147112.58","3.29","5750","49902484000","28351304000"
"文京","11.29","226599","123738","14316","226335","207455","553078.05","2.34","2395","34898452000","19803064000"
"台東","10.11","203843","124046","24446","246917","258517","773676.65","3.69","4732","23099371000","28318514000"
"墨田","13.77","276086","156787","16884","179072","296931","781995.09","2.89","4565","25606837000","41777209000"
"江東","42.99","527075","277019","19112","375745","395914","5174824.19","9.91","5661","54350099000","62835421000"
"品川","22.84","405326","228131","21609","412700","388434","1370622.09","3.3","4335","51272907000","41794198000"
"目黒","14.67","280586","158437","12211","141132","359120","490114.47","1.7","3140","47085550000","16974614000"
"大田","61.86","732726","400417","31432","375194","853791","2960129.23","3.98","7993","77473951000","73748500000"
"世田谷","58.05","919757","491958","28994","288580","1186345","2886049.35","3.06","8349","126420477000","53196431000"
"渋谷","15.11","230231","140438","28613","503767","271849","1631396.81","6.91","2662","55062246000","3377409000"
"中野","15.59","334306","207934","12917","128078","368778","476627.37","1.39","4126","34734459000","35646825000"
"杉並","34.06","573020","326303","20592","173874","688836","1187964.62","2.02","5322","66761446000","46965288000"
"豊島","13.01","285865","178237","19938","279586","307894","215070.33","0.72","3705","34079350000","31762785000"
"北","20.61","352314","199502","13701","142168","375053","1079010.75","3.04","4334","30218814000","53208743000"
"荒川","10.16","216307","117450","9899","85115","215350","435165","1.99","2041","18009629000","39345022000"
"板橋","32.22","569481","317782","19343","213374","740479","1944948.95","3.33","6351","47918750000","74310911000"
"練馬","48.08","740800","382827","21426","195639","1139823","2135843.31","2.87","6231","67494332000","89551611000"
"足立","53.25","691159","360188","25887","236348","1059280","3266692.31","4.77","7702","50554585000","109776254000"
"葛飾","34.80","462965","239898","17953","142902","753524","2014057.15","4.42","4873","35117607000","76849155000"
"江戸川","49.90","693586","347846","21840","196949","1078896","7804334.88","11.22","4888","55409908000","97484352000"
"境界未定","4.70",,,"539","21243",,,,,,
"23区に占める港区の割合[%]","3.25",,,"7.48","12.58","2.54","3.34","123.91","4.60","7.66","0.00"
"順位","12",,,"1","2","16","11","5","9","2","23"

"令和3年度港区行政資料集　２３区勢一覧","Ver202103",,,,,,,,,,
