"科目","金額[百万円]"
"年度","2017"
"期間（自）","20170401"
"期間（至）","20180331"
"業務活動収支 業務支出","173879"
"業務活動収支 業務支出 業務費用支出","74585"
"業務活動収支 業務支出 業務費用支出 人件費支出","21275"
"業務活動収支 業務支出 業務費用支出 物件費等支出","46029"
"業務活動収支 業務支出 業務費用支出 支払利息支出","45"
"業務活動収支 業務支出 業務費用支出 その他の支出","7236"
"業務活動収支 業務支出 移転費用支出","99293"
"業務活動収支 業務支出 移転費用支出 補助金等支出","78264"
"業務活動収支 業務支出 移転費用支出 社会保障給付支出","20661"
"業務活動収支 業務支出 移転費用支出 他会計への繰出支出","0"
"業務活動収支 業務支出 移転費用支出 その他の支出","369"
"業務活動収支 業務収入","201229"
"業務活動収支 業務収入 税収等収入","142757"
"業務活動収支 業務収入 国都等補助金収入","39694"
"業務活動収支 業務収入 使用料及び手数料収入","8233"
"業務活動収支 業務収入 その他の収入","10545"
"業務活動収支 臨時支出","0"
"業務活動収支 臨時支出 災害復旧事業費支出","0"
"業務活動収支 臨時支出 その他の支出","0"
"業務活動収支 臨時収入","0"
"業務活動収支","27351"
"投資活動収支 投資活動支出","76782"
"投資活動収支 投資活動支出 公共施設等整備費支出","24262"
"投資活動収支 投資活動支出 基金積立金支出","51127"
"投資活動収支 投資活動支出 投資及び出資金支出","895"
"投資活動収支 投資活動支出 貸付金支出","497"
"投資活動収支 投資活動支出 その他の支出","0"
"投資活動収支 投資活動収入","53380"
"投資活動収支 投資活動収入 国都等補助金収入","2887"
"投資活動収支 投資活動収入 基金取崩収入","49301"
"投資活動収支 投資活動収入 貸付金元金回収収入","495"
"投資活動収支 投資活動収入 資産売却収入","258"
"投資活動収支 投資活動収入 その他の収入","439"
"投資活動収支","-23401"
"財務活動収支 財務活動支出","993"
"財務活動収支 財務活動支出 地方債等償還支出","886"
"財務活動収支 財務活動支出 その他の支出","108"
"財務活動収支 財務活動収入","300"
"財務活動収支 財務活動収入 地方債等発行収入","300"
"財務活動収支 財務活動収入 その他の収入","0"
"財務活動収支","-693"
"本年度資金収支額","3256"
"前年度末資金残高","10451"
"比例連結割合変更に伴う差額","13"
"本年度末資金残高","13721"
"前年度末歳計外現金残高","11943"
"本年度歳計外現金増減額","-5212"
"本年度末歳計外現金残高","6731"
"本年度末現金預金残高","20451"

"連結会計財務書類（資金収支計算書）(平成29年4月1日から平成30年3月31日)","Ver201803"
