項目,階層,大分類,中分類,小分類,中間計,符号,項目名,都平均／実数（円）,都平均／対前年同月増加率（％）,35歳未満（円）,35～39歳（円）,40～44歳（円）,45～49歳（円）,50～54歳（円）,55～59歳（円）,60～64歳（円）,65歳以上（円）,（再掲）75歳以上（円）
0,0,0,0,0,0,0,世帯数分布,10000,-,387,734,742,1090,1147,774,1014,4112,2095
0,0,0,0,0,0,0,調査世帯数,697,-,29,51,48,74,75,59,73,288,147
0,0,0,0,0,0,0,世帯人員,2.95,-,3.3,3.58,3.78,3.66,3.16,3.21,2.66,2.42,2.35
0,0,0,0,0,0,0,有業人員,1.32,-,1.27,1.49,1.66,1.64,1.65,1.91,1.66,0.86,0.62
0,0,0,0,0,0,0,世帯主平均年齢,59.9,-,31.7,37.2,42.2,46.9,52.2,56.7,62.1,75.4,80.9
2,2,0,0,0,0,0,生計支出,319486,0.4,297871,280055,304098,397959,374357,389225,357866,272634,278583
2,3,0,0,0,0,0,消費支出,319486,0.4,297871,280055,304098,397959,374357,389225,357866,272634,278583
2,4,1,0,0,0,0,食料,88955,3,69868,81819,84949,102191,89490,99532,111551,81525,79130
2,5,1,1,0,0,0,穀類,6040,-2.3,5297,5827,6147,7098,6940,6667,6175,5446,4789
2,6,1,1,1,0,0,米類,1461,-11.3,1174,1441,1318,1911,1702,1480,1325,1360,1248
2,7,1,1,1,0,102,米,1461,-11.3,1174,1441,1318,1911,1702,1480,1325,1360,1248
2,6,1,1,2,0,0,パン,2920,4.5,2569,2858,3200,3132,3285,3102,3192,2655,2306
2,7,1,1,2,0,120,食パン,911,7.3,583,1061,860,818,1023,786,867,952,795
2,7,1,1,2,0,129,他のパン,2009,3.3,1985,1798,2340,2313,2262,2315,2325,1702,1510
2,6,1,1,3,0,0,麺類,1247,-3.4,1286,1157,1196,1568,1377,1582,1250,1083,952
2,7,1,1,3,0,130,生うどん・そば,258,2.4,257,234,221,199,217,336,271,278,261
2,7,1,1,3,0,131,乾うどん・そば,45,-40.8,33,42,75,31,51,26,33,51,41
2,7,1,1,3,0,134,パスタ,120,17.6,139,140,164,214,209,168,70,60,40
