項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,0,0,0,調査世帯数,689,-,-,96,-,101,-,100,-,101,-,99,-,98,-,94,-
0,0,0,0,0,世帯人員,2.94,-,-,2.58,-,2.72,-,2.84,-,2.95,-,3.08,-,3.15,-,3.26,-
0,0,0,0,0,有業人員,1.32,-,-,1.09,-,1.12,-,1.27,-,1.33,-,1.41,-,1.49,-,1.54,-
0,0,0,0,0,世帯主平均年齢,59.4,-,-,64.1,-,64.1,-,60.3,-,57.6,-,57.1,-,56.3,-,56.2,-
2,2,0,0,0,生計支出,331138,-,0.3,103003,-,166342,-,212112,-,259532,-,319205,-,407807,-,852538,-
2,3,0,0,0,消費支出,319428,100,-2.2,103003,100,166342,100,212112,100,259532,100,319205,100,407807,100,769707,100
2,4,1,0,0,食料,90238,28.2,2.6,51734,50.2,69237,41.6,78341,36.9,86163,33.2,99235,31.1,113619,27.9,133439,17.3
2,5,1,1,0,穀類,7116,2.2,5.1,4875,4.7,6178,3.7,6592,3.1,7328,2.8,7750,2.4,8530,2.1,8519,1.1
2,6,1,1,1,米類,1941,0.6,4,1363,1.3,1725,1,1912,0.9,2028,0.8,2093,0.7,2361,0.6,2093,0.3
2,6,1,1,2,パン,2918,0.9,-4.1,2013,2,2514,1.5,2669,1.3,2913,1.1,3137,1,3496,0.9,3674,0.5
2,6,1,1,3,麺類,1692,0.5,21.9,1170,1.1,1506,0.9,1542,0.7,1796,0.7,1879,0.6,1986,0.5,1950,0.3
2,6,1,1,4,他の穀類,565,0.2,19.7,328,0.3,433,0.3,468,0.2,592,0.2,641,0.2,688,0.2,802,0.1
2,5,1,2,0,魚介類,6797,2.1,8.2,4402,4.3,6018,3.6,6500,3.1,6698,2.6,7281,2.3,7833,1.9,8836,1.1
2,6,1,2,1,生鮮魚介,3992,1.2,7.6,2515,2.4,3513,2.1,3768,1.8,3972,1.5,4295,1.3,4639,1.1,5232,0.7
2,6,1,2,2,塩干魚介,1157,0.4,7.9,810,0.8,1054,0.6,1181,0.6,1129,0.4,1243,0.4,1288,0.3,1388,0.2
2,6,1,2,3,魚肉練製品,649,0.2,8.7,462,0.4,607,0.4,630,0.3,683,0.3,689,0.2,698,0.2,781,0.1
2,6,1,2,4,他の魚介加工品,998,0.3,10.6,615,0.6,844,0.5,921,0.4,914,0.4,1053,0.3,1208,0.3,1434,0.2
2,5,1,3,0,肉類,9050,2.8,17.6,5227,5.1,7230,4.3,8186,3.9,8890,3.4,10156,3.2,11017,2.7,12604,1.6
2,6,1,3,1,生鮮肉,7443,2.3,18.8,4255,4.1,5914,3.6,6681,3.1,7210,2.8,8336,2.6,9132,2.2,10542,1.4
2,6,1,3,2,加工肉,1607,0.5,12.5,972,0.9,1316,0.8,1505,0.7,1680,0.6,1821,0.6,1885,0.5,2062,0.3
2,5,1,4,0,乳卵類,4805,1.5,15.1,3113,3,3908,2.3,4374,2.1,4670,1.8,5336,1.7,5776,1.4,6419,0.8
2,6,1,4,1,牛乳,1468,0.5,8.9,994,1,1345,0.8,1284,0.6,1372,0.5,1709,0.5,1685,0.4,1881,0.2
