項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,都平均／対前年同月増加率（％）,第1階層／実数（円）,第1階層／構成比（％）,第2階層／実数（円）,第2階層／構成比（％）,第3階層／実数（円）,第3階層／構成比（％）,第4階層／実数（円）,第4階層／構成比（％）,第5階層／実数（円）,第5階層／構成比（％）,第6階層／実数（円）,第6階層／構成比（％）,第7階層／実数（円）,第7階層／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-,1429,-
0,0,0,0,0,調査世帯数,700,-,-,93,-,102,-,103,-,100,-,108,-,96,-,98,-
0,0,0,0,0,世帯人員,2.92,-,-,2.61,-,2.58,-,2.9,-,2.75,-,3.14,-,3.02,-,3.4,-
0,0,0,0,0,有業人員,1.31,-,-,1.1,-,0.97,-,1.34,-,1.3,-,1.47,-,1.45,-,1.55,-
0,0,0,0,0,世帯主平均年齢,59.9,-,-,62.4,-,67.1,-,61.9,-,59.1,-,56.8,-,55.2,-,56.8,-
2,2,0,0,0,生計支出,298410,-,-19.1,87782,-,144861,-,188339,-,224319,-,273425,-,350085,-,815952,-
2,3,0,0,0,消費支出,298410,100,-8.8,87782,100,144861,100,188339,100,224319,100,273425,100,350085,100,815952,100
2,4,1,0,0,食料,82547,27.7,-2.7,48156,54.9,64688,44.7,74716,39.7,77932,34.7,94627,34.6,98957,28.3,118287,14.5
2,5,1,1,0,穀類,7880,2.6,10.3,4738,5.4,6699,4.6,7874,4.2,7189,3.2,9903,3.6,9173,2.6,9544,1.2
2,6,1,1,1,米類,2183,0.7,1.7,1353,1.5,1921,1.3,2292,1.2,1936,0.9,2858,1,2619,0.7,2294,0.3
2,6,1,1,2,パン,3041,1,-3.6,1752,2,2558,1.8,3066,1.6,3017,1.3,3738,1.4,3399,1,3739,0.5
2,6,1,1,3,麺類,2052,0.7,47.2,1313,1.5,1745,1.2,1963,1,1788,0.8,2605,1,2395,0.7,2545,0.3
2,6,1,1,4,他の穀類,604,0.2,35.4,320,0.4,475,0.3,553,0.3,448,0.2,701,0.3,761,0.2,965,0.1
2,5,1,2,0,魚介類,6767,2.3,9.4,4529,5.2,5505,3.8,6268,3.3,6928,3.1,6760,2.5,7876,2.2,9474,1.2
2,6,1,2,1,生鮮魚介,3905,1.3,6.1,2688,3.1,3060,2.1,3632,1.9,4151,1.9,3678,1.3,4468,1.3,5644,0.7
2,6,1,2,2,塩干魚介,1230,0.4,11.4,802,0.9,1061,0.7,1236,0.7,1167,0.5,1394,0.5,1366,0.4,1581,0.2
2,6,1,2,3,魚肉練製品,590,0.2,16.4,431,0.5,586,0.4,553,0.3,618,0.3,716,0.3,539,0.2,685,0.1
2,6,1,2,4,他の魚介加工品,1042,0.3,16.8,608,0.7,798,0.6,848,0.5,993,0.4,972,0.4,1504,0.4,1565,0.2
2,5,1,3,0,肉類,9954,3.3,32.6,5623,6.4,7250,5,9956,5.3,9306,4.1,10185,3.7,11127,3.2,16165,2
2,6,1,3,1,生鮮肉,8245,2.8,35.3,4694,5.3,5848,4,8264,4.4,7641,3.4,8286,3,9184,2.6,13747,1.7
2,6,1,3,2,加工肉,1708,0.6,21,929,1.1,1402,1,1693,0.9,1665,0.7,1899,0.7,1943,0.6,2417,0.3
2,5,1,4,0,乳卵類,5285,1.8,30.9,3131,3.6,4277,3,5074,2.7,5007,2.2,5932,2.2,6412,1.8,7135,0.9
2,6,1,4,1,牛乳,1574,0.5,28.6,823,0.9,1340,0.9,1445,0.8,1495,0.7,1927,0.7,2191,0.6,1789,0.2
2,6,1,4,2,乳製品,2709,0.9,32.3,1605,1.8,2102,1.5,2619,1.4,2481,1.1,2867,1,3135,0.9,4141,0.5
2,6,1,4,3,卵,1002,0.3,30.6,703,0.8,835,0.6,1010,0.5,1031,0.5,1139,0.4,1086,0.3,1206,0.1
2,5,1,5,0,野菜・海藻,12458,4.2,24.7,9302,10.6,11371,7.8,11782,6.3,11649,5.2,13683,5,13900,4,15483,1.9
2,6,1,5,1,生鮮野菜,8779,2.9,26.5,6533,7.4,7948,5.5,8554,4.5,8171,3.6,9408,3.4,9798,2.8,11013,1.3
2,6,1,5,2,乾物・海藻,937,0.3,13.4,660,0.8,627,0.4,766,0.4,766,0.3,1222,0.4,1156,0.3,1354,0.2
2,6,1,5,3,大豆加工品,1348,0.5,21.7,1008,1.1,1247,0.9,1234,0.7,1343,0.6,1482,0.5,1438,0.4,1678,0.2
2,6,1,5,4,他の野菜・海藻加工品,1395,0.5,25,1101,1.3,1549,1.1,1228,0.7,1370,0.6,1571,0.6,1507,0.4,1438,0.2
2,5,1,6,0,果物,3933,1.3,18.6,2370,2.7,3884,2.7,3632,1.9,3421,1.5,3934,1.4,4609,1.3,5666,0.7
2,6,1,6,1,生鮮果物,3503,1.2,19,2113,2.4,3613,2.5,3289,1.7,3127,1.4,3444,1.3,4006,1.1,4918,0.6
2,6,1,6,2,果物加工品,430,0.1,15.3,257,0.3,270,0.2,343,0.2,294,0.1,490,0.2,603,0.2,748,0.1
2,5,1,7,0,油脂・調味料,4580,1.5,30.5,2895,3.3,3431,2.4,4184,2.2,4078,1.8,5592,2,5709,1.6,6145,0.8
2,6,1,7,1,油脂,530,0.2,41,312,0.4,345,0.2,422,0.2,600,0.3,799,0.3,599,0.2,631,0.1
2,6,1,7,2,調味料,4050,1.4,29.2,2583,2.9,3086,2.1,3763,2,3478,1.6,4792,1.8,5111,1.5,5514,0.7
2,5,1,8,0,菓子類,6492,2.2,-1.5,3629,4.1,4768,3.3,5517,2.9,6526,2.9,8169,3,7960,2.3,8834,1.1
2,5,1,9,0,調理食品,11256,3.8,-3.1,6289,7.2,8264,5.7,9770,5.2,11587,5.2,14556,5.3,13346,3.8,14905,1.8
2,6,1,9,1,主食的調理食品,4894,1.6,-5.7,2352,2.7,3218,2.2,4250,2.3,5318,2.4,6926,2.5,5753,1.6,6403,0.8
2,6,1,9,2,他の調理食品,6362,2.1,-0.9,3937,4.5,5046,3.5,5520,2.9,6269,2.8,7630,2.8,7593,2.2,8502,1
2,5,1,10,0,飲料,4923,1.6,4.3,2259,2.6,3101,2.1,4103,2.2,4455,2,6856,2.5,6505,1.9,7141,0.9
