項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,35歳未満／実数（円）,35歳未満／構成比（％）,35～39歳／実数（円）,35～39歳／構成比（％）,40～44歳／実数（円）,40～44歳／構成比（％）,45～49歳／実数（円）,45～49歳／構成比（％）,50～54歳／実数（円）,50～54歳／構成比（％）,55～59歳／実数（円）,55～59歳／構成比（％）,60～64歳／実数（円）,60～64歳／構成比（％）,65歳以上／実数（円）,65歳以上／構成比（％）,（再掲）75歳以上／実数（円）,（再掲）75歳以上／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,513,-,570,-,913,-,1035,-,1150,-,1007,-,1026,-,3787,-,1769,-
0,0,0,0,0,調査世帯数,701,-,34,-,40,-,66,-,68,-,79,-,68,-,71,-,275,-,127,-
0,0,0,0,0,世帯人員,2.92,-,2.98,-,3.55,-,3.59,-,3.65,-,3.46,-,2.94,-,2.62,-,2.36,-,2.2,-
0,0,0,0,0,有業人員,1.33,-,1.65,-,1.72,-,1.5,-,1.64,-,1.73,-,1.96,-,1.56,-,0.75,-,0.48,-
0,0,0,0,0,世帯主平均年齢,59,-,30.8,-,36.9,-,42.6,-,46.8,-,52,-,56.6,-,62.1,-,75.4,-,81.9,-
2,2,0,0,0,生計支出,399089,-,306831,-,807253,-,321111,-,692749,-,404075,-,375368,-,357072,-,304860,-,297733,-
2,3,0,0,0,消費支出,336732,100,306831,100,277158,100,321111,100,382232,100,404075,100,375368,100,357072,100,304860,100,297733,100
2,4,1,0,0,食料,91283,27.1,69178,22.5,91360,33,90200,28.1,111103,29.1,102201,25.3,109338,29.1,89670,25.1,81434,26.7,75007,25.2
2,5,1,1,0,穀類,6362,1.9,4836,1.6,5893,2.1,6483,2,7899,2.1,6756,1.7,6275,1.7,5883,1.6,6223,2,5657,1.9
2,6,1,1,1,米類,1635,0.5,988,0.3,1018,0.4,1578,0.5,2061,0.5,1903,0.5,1421,0.4,1465,0.4,1735,0.6,1644,0.6
2,6,1,1,2,パン,2711,0.8,2127,0.7,2923,1.1,2686,0.8,3243,0.8,2674,0.7,2929,0.8,2758,0.8,2560,0.8,2227,0.7
2,6,1,1,3,麺類,1474,0.4,1034,0.3,1461,0.5,1651,0.5,1958,0.5,1534,0.4,1471,0.4,1318,0.4,1386,0.5,1303,0.4
