項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,経営職／実数（円）,経営職／構成比（％）,管理職／実数（円）,管理職／構成比（％）,専門職／実数（円）,専門職／構成比（％）,事務職／実数（円）,事務職／構成比（％）,技術職／実数（円）,技術職／構成比（％）,商工職／実数（円）,商工職／構成比（％）,技能・労務職／実数（円）,技能・労務職／構成比（％）,その他／実数（円）,その他／構成比（％）,（再掲）勤労者世帯のうち正規の職員・従業員／実数（円）,（再掲）勤労者世帯のうち正規の職員・従業員／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,533,-,159,-,795,-,2607,-,955,-,840,-,986,-,3124,-,4791,-
0,0,0,0,0,調査世帯数,689,-,35,-,12,-,50,-,177,-,69,-,52,-,70,-,223,-,330,-
0,0,0,0,0,世帯人員,2.94,-,2.99,-,3.15,-,3.21,-,3.34,-,3.33,-,2.71,-,3.17,-,2.39,-,3.35,-
0,0,0,0,0,有業人員,1.32,-,1.7,-,1.99,-,1.64,-,1.67,-,1.69,-,1.78,-,1.82,-,0.46,-,1.71,-
0,0,0,0,0,世帯主平均年齢,59.4,-,60.6,-,55.5,-,50.2,-,49.3,-,47,-,64.3,-,51.9,-,75,-,48.1,-
2,2,0,0,0,生計支出,331138,-,429852,-,461473,-,395812,-,382639,-,377179,-,289232,-,265240,-,265267,-,373578,-
2,3,0,0,0,消費支出,319428,100,429852,100,461473,100,393598,100,354964,100,335381,100,289232,100,265240,100,265267,100,349595,100
2,4,1,0,0,食料,90238,28.2,102673,23.9,123418,26.7,101238,25.7,97692,27.5,91663,27.3,87447,30.2,75005,28.3,82747,31.2,94420,27
2,5,1,1,0,穀類,7116,2.2,7411,1.7,8050,1.7,7241,1.8,7682,2.2,7119,2.1,6621,2.3,6986,2.6,6702,2.5,7375,2.1
2,6,1,1,1,米類,1941,0.6,1929,0.4,1670,0.4,1831,0.5,2002,0.6,1793,0.5,1856,0.6,2146,0.8,1942,0.7,1950,0.6
2,6,1,1,2,パン,2918,0.9,3125,0.7,3549,0.8,3119,0.8,3183,0.9,2962,0.9,2805,1,2621,1,2692,1,3013,0.9
2,6,1,1,3,麺類,1692,0.5,1662,0.4,2061,0.4,1612,0.4,1841,0.5,1791,0.5,1517,0.5,1772,0.7,1571,0.6,1792,0.5
2,6,1,1,4,他の穀類,565,0.2,695,0.2,771,0.2,679,0.2,655,0.2,573,0.2,443,0.2,448,0.2,497,0.2,621,0.2
2,5,1,2,0,魚介類,6797,2.1,7717,1.8,7432,1.6,6614,1.7,6130,1.7,5688,1.7,7248,2.5,5237,2,7947,3,5803,1.7
2,6,1,2,1,生鮮魚介,3992,1.2,4589,1.1,4512,1,4034,1,3754,1.1,3308,1,4349,1.5,3099,1.2,4468,1.7,3499,1
2,6,1,2,2,塩干魚介,1157,0.4,1151,0.3,1107,0.2,1061,0.3,1019,0.3,993,0.3,1250,0.4,896,0.3,1410,0.5,970,0.3
2,6,1,2,3,魚肉練製品,649,0.2,646,0.2,652,0.1,498,0.1,526,0.1,568,0.2,662,0.2,467,0.2,871,0.3,498,0.1
2,6,1,2,4,他の魚介加工品,998,0.3,1331,0.3,1161,0.3,1021,0.3,830,0.2,820,0.2,988,0.3,774,0.3,1199,0.5,835,0.2
2,5,1,3,0,肉類,9050,2.8,11864,2.8,10642,2.3,10124,2.6,10412,2.9,8889,2.7,8981,3.1,7828,3,7563,2.9,9747,2.8
2,6,1,3,1,生鮮肉,7443,2.3,10126,2.4,8483,1.8,8290,2.1,8679,2.4,7159,2.1,7421,2.6,6406,2.4,6126,2.3,8061,2.3
2,6,1,3,2,加工肉,1607,0.5,1739,0.4,2159,0.5,1834,0.5,1732,0.5,1730,0.5,1560,0.5,1422,0.5,1437,0.5,1686,0.5
2,5,1,4,0,乳卵類,4805,1.5,5139,1.2,5753,1.2,5745,1.5,4841,1.4,4914,1.5,4130,1.4,3580,1.3,4954,1.9,4807,1.4
2,6,1,4,1,牛乳,1468,0.5,1530,0.4,1617,0.4,1887,0.5,1443,0.4,1376,0.4,1234,0.4,1066,0.4,1574,0.6,1431,0.4
2,6,1,4,2,乳製品,2461,0.8,2657,0.6,3062,0.7,2977,0.8,2471,0.7,2685,0.8,2128,0.7,1738,0.7,2501,0.9,2494,0.7
2,6,1,4,3,卵,876,0.3,952,0.2,1074,0.2,881,0.2,927,0.3,854,0.3,768,0.3,776,0.3,880,0.3,882,0.3
2,5,1,5,0,野菜・海藻,11355,3.6,13328,3.1,12584,2.7,11666,3,10908,3.1,10351,3.1,10946,3.8,8424,3.2,12609,4.8,10426,3
2,6,1,5,1,生鮮野菜,7959,2.5,9397,2.2,8941,1.9,8322,2.1,7886,2.2,7274,2.2,7603,2.6,5896,2.2,8594,3.2,7453,2.1
2,6,1,5,2,乾物・海藻,869,0.3,1106,0.3,846,0.2,928,0.2,794,0.2,860,0.3,782,0.3,643,0.2,981,0.4,800,0.2
2,6,1,5,3,大豆加工品,1237,0.4,1312,0.3,1383,0.3,1293,0.3,1129,0.3,1223,0.4,1102,0.4,923,0.3,1435,0.5,1131,0.3
2,6,1,5,4,他の野菜・海藻加工品,1290,0.4,1513,0.4,1414,0.3,1122,0.3,1100,0.3,994,0.3,1460,0.5,963,0.4,1599,0.6,1041,0.3
2,5,1,6,0,果物,3815,1.2,4862,1.1,3491,0.8,3855,1,3117,0.9,3072,0.9,3840,1.3,2041,0.8,5014,1.9,2949,0.8
2,6,1,6,1,生鮮果物,3372,1.1,4312,1,3074,0.7,3350,0.9,2739,0.8,2605,0.8,3438,1.2,1869,0.7,4457,1.7,2576,0.7
2,6,1,6,2,果物加工品,443,0.1,550,0.1,417,0.1,505,0.1,378,0.1,467,0.1,403,0.1,171,0.1,557,0.2,373,0.1
2,5,1,7,0,油脂・調味料,4380,1.4,4928,1.1,5306,1.1,4563,1.2,4622,1.3,4424,1.3,4287,1.5,3664,1.4,4231,1.6,4452,1.3
2,6,1,7,1,油脂,473,0.1,500,0.1,553,0.1,490,0.1,500,0.1,427,0.1,425,0.1,414,0.2,486,0.2,462,0.1
2,6,1,7,2,調味料,3907,1.2,4428,1,4753,1,4073,1,4122,1.2,3997,1.2,3862,1.3,3250,1.2,3745,1.4,3989,1.1
2,5,1,8,0,菓子類,6937,2.2,6741,1.6,8514,1.8,7865,2,7763,2.2,7995,2.4,6701,2.3,6064,2.3,5998,2.3,7610,2.2
2,5,1,9,0,調理食品,12826,4,13271,3.1,15670,3.4,13911,3.5,13001,3.7,12507,3.7,13713,4.7,11016,4.2,12622,4.8,12705,3.6
2,6,1,9,1,主食的調理食品,5579,1.7,5611,1.3,6721,1.5,6186,1.6,5845,1.6,5492,1.6,5728,2,4714,1.8,5416,2,5600,1.6
2,6,1,9,2,他の調理食品,7247,2.3,7660,1.8,8949,1.9,7725,2,7156,2,7015,2.1,7985,2.8,6302,2.4,7206,2.7,7104,2
2,5,1,10,0,飲料,5402,1.7,5863,1.4,5784,1.3,6385,1.6,5802,1.6,5692,1.7,4911,1.7,4909,1.9,4933,1.9,5674,1.6
2,6,1,10,1,茶類,1245,0.4,1201,0.3,1308,0.3,1391,0.4,1226,0.3,1155,0.3,1099,0.4,1046,0.4,1362,0.5,1188,0.3
2,6,1,10,2,コーヒー・ココア,1107,0.3,1177,0.3,1164,0.3,1506,0.4,1204,0.3,1247,0.4,963,0.3,1015,0.4,931,0.4,1207,0.3
2,6,1,10,3,他の飲料,3050,1,3485,0.8,3312,0.7,3488,0.9,3372,0.9,3289,1,2849,1,2848,1.1,2640,1,3279,0.9
2,5,1,11,0,酒類,4232,1.3,4784,1.1,7528,1.6,4414,1.1,4402,1.2,3783,1.1,4400,1.5,4624,1.7,3751,1.4,4501,1.3
2,5,1,12,0,外食,13522,4.2,16765,3.9,32665,7.1,18855,4.8,19013,5.4,17230,5.1,11669,4,10633,4,6424,2.4,18373,5.3
2,6,1,12,1,一般外食,12867,4,15848,3.7,31850,6.9,17821,4.5,17913,5,15983,4.8,11347,3.9,9893,3.7,6400,2.4,17226,4.9
2,6,1,12,2,学校給食,655,0.2,918,0.2,815,0.2,1034,0.3,1100,0.3,1246,0.4,322,0.1,740,0.3,24,0,1147,0.3
2,4,2,0,0,住居,27590,8.6,34350,8,10979,2.4,47707,12.1,24261,6.8,30350,9,28615,9.9,30540,11.5,23073,8.7,28652,8.2
2,5,2,1,0,家賃地代,16273,5.1,14861,3.5,8844,1.9,44670,11.3,17072,4.8,21279,6.3,17011,5.9,21851,8.2,5448,2.1,21689,6.2
2,5,2,2,0,設備修繕・維持,11317,3.5,19489,4.5,2135,0.5,3037,0.8,7188,2,9072,2.7,11604,4,8690,3.3,17625,6.6,6964,2
2,6,2,2,1,設備材料,4308,1.3,9840,2.3,1227,0.3,652,0.2,2662,0.7,4716,1.4,4051,1.4,2175,0.8,6456,2.4,2599,0.7
2,6,2,2,2,工事その他のサービス,7010,2.2,9649,2.2,909,0.2,2385,0.6,4526,1.3,4357,1.3,7553,2.6,6515,2.5,11170,4.2,4365,1.2
2,4,3,0,0,光熱・水道,21508,6.7,24579,5.7,23089,5,23064,5.9,21431,6,19818,5.9,21304,7.4,18142,6.8,22205,8.4,20820,6
