項目,階層,大分類,中分類,小分類,中間計,符号,項目名,都平均／実数（円）,都平均／対前年増加率（％）,35歳未満（円）,35～39歳（円）,40～44歳（円）,45～49歳（円）,50～54歳（円）,55～59歳（円）,60～64歳（円）,65歳以上（円）,（再掲）75歳以上（円）
0,0,0,0,0,0,0,世帯数分布,10000,-,477,655,888,1004,1067,911,1028,3971,1988
0,0,0,0,0,0,0,調査世帯数,689,-,33,45,60,66,73,63,71,279,139
0,0,0,0,0,0,0,世帯人員,2.94,-,3.11,3.62,3.71,3.67,3.32,3.07,2.67,2.39,2.25
0,0,0,0,0,0,0,有業人員,1.32,-,1.53,1.57,1.59,1.64,1.67,1.99,1.65,0.79,0.54
0,0,0,0,0,0,0,世帯主平均年齢,59.4,-,30.9,36.9,42.3,46.8,52,57,62.1,75.4,81.1
2,2,0,0,0,0,0,生計支出,331138,0.3,271425,371843,381636,418030,379035,378461,349095,275469,257879
2,3,0,0,0,0,0,消費支出,319428,-2.2,271425,301161,308926,392153,379035,378461,349095,275469,257879
2,4,1,0,0,0,0,食料,94072,1.1,67834,90388,91733,109007,96044,105868,103025,89100,83409
2,5,1,1,0,0,0,穀類,7210,4.3,5031,6923,7570,8802,7757,7590,6971,6877,6078
2,6,1,1,1,0,0,米類,1956,2.6,1241,1589,1922,2617,2073,1982,1724,1969,1809
2,7,1,1,1,0,102,米,1956,2.6,1241,1589,1922,2617,2073,1982,1724,1969,1809
2,6,1,1,2,0,0,パン,2944,-4.4,2009,2989,3098,3417,3142,3178,3085,2760,2403
2,7,1,1,2,0,120,食パン,982,4.4,559,962,964,1106,1014,950,956,1013,860
2,7,1,1,2,0,129,他のパン,1962,-8.3,1449,2027,2134,2311,2129,2228,2129,1747,1543
2,6,1,1,3,0,0,麺類,1742,20,1213,1760,1896,2064,1944,1741,1665,1655,1435
2,7,1,1,3,0,130,生うどん・そば,302,17.5,185,283,269,313,309,306,292,325,303
2,7,1,1,3,0,131,乾うどん・そば,204,5.2,118,145,162,129,135,140,175,292,303
2,7,1,1,3,0,134,パスタ,161,42.5,128,181,204,219,221,202,163,111,78
2,7,1,1,3,0,133,中華麺,446,27.4,275,484,502,573,516,450,425,402,348
2,7,1,1,3,0,135,カップ麺,364,8.3,323,367,473,474,488,383,351,283,226
2,7,1,1,3,0,132,即席麺,172,33.3,113,187,201,219,179,158,163,163,115
2,7,1,1,3,0,139,他の麺類,93,29.2,72,113,86,138,98,103,96,80,61
2,6,1,1,4,0,0,他の穀類,567,18.9,569,586,654,704,597,688,497,494,432
2,7,1,1,4,0,140,小麦粉,69,56.8,74,72,91,117,45,78,56,59,59
2,7,1,1,4,0,150,もち,164,2.5,96,99,106,161,149,134,164,209,207
2,7,1,1,4,0,160,他の穀類のその他,334,22.3,398,415,457,427,404,476,278,226,166
2,5,1,2,0,0,0,魚介類,7018,8.4,3242,4402,5005,6813,5877,6440,7740,8676,8568
2,6,1,2,1,0,0,生鮮魚介,4059,7.7,1889,2823,3004,4125,3642,3555,4569,4851,4788
2,7,1,2,1,170-189,0,鮮魚,3720,8.1,1789,2650,2813,3817,3382,3231,4188,4400,4306
2,7,1,2,1,170-189,170,まぐろ,698,8,285,415,454,747,567,644,874,841,797
2,7,1,2,1,170-189,172,あじ,96,0,51,69,54,92,67,66,106,128,131
2,7,1,2,1,170-189,173,いわし,36,-2.7,7,17,21,27,21,29,29,56,66
2,7,1,2,1,170-189,174,かつお,105,-22.2,54,50,109,99,105,68,139,122,107
2,7,1,2,1,170-189,175,かれい,55,-8.3,9,24,32,40,34,44,48,85,96
2,7,1,2,1,170-189,176,さけ,519,24.2,299,420,490,600,563,453,483,564,530
2,7,1,2,1,170-189,177,さば,67,-1.5,50,36,51,56,66,62,91,75,77
2,7,1,2,1,170-189,178,さんま,46,-31.3,13,38,25,47,52,24,46,59,60
2,7,1,2,1,170-189,180,たい,101,40.3,28,70,63,71,94,91,108,133,125
2,7,1,2,1,170-189,181,ぶり,267,17.1,140,199,245,286,254,248,294,295,294
2,7,1,2,1,170-189,182,いか,149,12,32,63,84,144,109,136,185,199,165
2,7,1,2,1,170-189,183,たこ,146,22.7,85,106,139,152,170,148,153,153,119
2,7,1,2,1,170-189,185,えび,255,20.9,180,171,206,239,248,254,362,267,229
2,7,1,2,1,170-189,186,かに,113,25.6,19,36,48,81,80,63,121,182,204
2,7,1,2,1,170-189,189,他の鮮魚,653,8.3,355,599,472,752,562,593,655,752,823
2,7,1,2,1,170-189,187,さしみ盛合わせ,414,-9.8,184,335,321,386,391,312,495,489,482
2,7,1,2,1,190-194,0,貝類,338,3,100,174,191,308,260,323,381,451,483
2,7,1,2,1,190-194,190,あさり,75,0,24,76,51,73,58,71,80,91,97
2,7,1,2,1,190-194,192,しじみ,41,-2.4,15,12,20,29,24,38,44,61,70
2,7,1,2,1,190-194,191,かき(貝),69,-9.2,19,21,32,72,37,61,80,98,107
2,7,1,2,1,190-194,194,ほたて貝,119,24,24,29,57,98,106,117,139,165,180
2,7,1,2,1,190-194,193,他の貝,35,-12.5,18,35,32,35,35,36,38,37,28
2,6,1,2,2,0,0,塩干魚介,1224,7.7,680,738,818,1131,911,1164,1239,1583,1621
2,7,1,2,2,0,195,塩さけ,170,1.2,128,81,147,136,106,95,167,240,237
2,7,1,2,2,0,196,たらこ,192,4.3,79,126,128,182,152,243,208,229,244
2,7,1,2,2,0,197,しらす干し,177,5.4,144,170,108,188,149,162,197,203,210
