年次・月次コード,年次・月次,都平均,第1階層,第2階層,第3階層,第4階層,第5階層,第6階層,第7階層
nen,平成25年平均,54.5,48.1,46.2,47.4,52.5,56.3,60.9,61.2
nen,平成26年平均,53.9,44.3,47,50.3,54.7,55.2,58.3,59.9
nen,平成27年平均,52.2,42.8,43.7,46.4,51.8,52.6,56.6,60.9
nen,平成28年平均,53,48,47.7,45.4,52.4,53.5,57.7,59
nen,平成29年平均,54,41.7,45.6,45.9,54.1,56.9,61.4,61.8
nen,平成30年平均,52.7,39.1,41,48,52.2,55.4,56.9,62.7
nen,平成31年・令和元年平均,53.3,42.7,45.9,48.3,52.9,57,58.4,59.6
tuki,令和元年10月,54.9,50.2,53.5,46.2,51.2,51.3,60.3,64.4
tuki,令和元年11月,48,31.5,50.9,42.2,52.9,46.9,48.1,59.1
tuki,令和元年12月,49.8,43.1,42.4,45.9,51.5,50.1,48.2,59.9
tuki,令和 2年 1月,50.5,38.9,43,48.7,44.4,51.8,60.7,57.3
tuki,令和 2年 2月,48.9,47.9,42.1,38.4,42.2,45.5,53,60.2
tuki,令和 2年 3月,46.6,39.2,39,38.2,44.8,50.7,57.8,47.6
tuki,令和 2年 4月,47.4,36.2,29,44.7,55.8,48.6,52.1,53
tuki,令和 2年 5月,44.1,42,32.3,41.6,48.6,52.4,45.2,42
tuki,令和 2年 6月,46,39.7,38.1,40.9,47.1,48.6,50.5,51.4
tuki,令和 2年 7月,47,39,41.1,42.1,44.4,53,50.2,53.7
tuki,令和 2年 8月,45.2,36.1,42.7,39.6,39,50.9,46.9,52.8
tuki,令和 2年 9月,52.1,34.3,42.8,58.2,47,51,60.1,56.5
tuki,令和 2年10月,52.5,40.4,44,55.1,54,48.9,57.4,59
,,,,,,,,,
東京都生計分析調査　令和 2年10月,,,,,,,,,
主　　要　　指　　標　　　５　　―　勤労者世帯，勤め先収入７分位階層別　―,,,,,,,,,
選択的支出係数　　　〔＝（選択的支出÷消費支出） ×１００〕,,,,,,,,,
