項目,階層,大分類,中分類,小分類,項目名,都平均／実数（円）,都平均／構成比（％）,夫婦のみの世帯／実数（円）,夫婦のみの世帯／構成比（％）,夫婦と未婚の子供から成る世帯／実数（円）,夫婦と未婚の子供から成る世帯／構成比（％）,一人親と未婚の子供から成る世帯／実数（円）,一人親と未婚の子供から成る世帯／構成比（％）,一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／実数（円）,一人親と未婚の子供から成る世帯／母親と20歳未満の子供のみの世帯／構成比（％）,その他／実数（円）,その他／構成比（％）,（再掲）夫婦共働き世帯／実数（円）,（再掲）夫婦共働き世帯／構成比（％）
0,0,0,0,0,世帯数分布,10000,-,3637,-,4801,-,733,-,101,-,829,-,3408,-
0,0,0,0,0,調査世帯数,689,-,252,-,333,-,50,-,6,-,54,-,232,-
0,0,0,0,0,世帯人員,2.94,-,2,-,3.66,-,2.31,-,2.92,-,3.44,-,3.31,-
0,0,0,0,0,有業人員,1.32,-,0.82,-,1.72,-,1.12,-,0.87,-,1.4,-,2.17,-
0,0,0,0,0,世帯主平均年齢,59.4,-,68.5,-,51,-,67.9,-,43.5,-,60.6,-,50.8,-
2,2,0,0,0,生計支出,331138,-,297040,-,377080,-,215055,-,199029,-,320330,-,390609,-
2,3,0,0,0,消費支出,319428,100,297040,100,352230,100,215055,100,199029,100,320330,100,357548,100
2,4,1,0,0,食料,90238,28.2,82920,27.9,99085,28.1,63372,29.5,56069,28.2,94702,29.6,96225,26.9
2,5,1,1,0,穀類,7116,2.2,5815,2,8173,2.3,5660,2.6,5306,2.7,7972,2.5,7362,2.1
2,6,1,1,1,米類,1941,0.6,1544,0.5,2187,0.6,1678,0.8,982,0.5,2501,0.8,1966,0.5
2,6,1,1,2,パン,2918,0.9,2447,0.8,3335,0.9,2335,1.1,2490,1.3,3053,1,3051,0.9
2,6,1,1,3,麺類,1692,0.5,1369,0.5,1971,0.6,1230,0.6,1328,0.7,1911,0.6,1763,0.5
2,6,1,1,4,他の穀類,565,0.2,456,0.2,680,0.2,418,0.2,506,0.3,507,0.2,582,0.2
2,5,1,2,0,魚介類,6797,2.1,7017,2.4,6534,1.9,5198,2.4,2570,1.3,8783,2.7,6043,1.7
2,6,1,2,1,生鮮魚介,3992,1.2,4072,1.4,3906,1.1,2868,1.3,1664,0.8,5160,1.6,3696,1
2,6,1,2,2,塩干魚介,1157,0.4,1179,0.4,1111,0.3,931,0.4,278,0.1,1532,0.5,955,0.3
2,6,1,2,3,魚肉練製品,649,0.2,693,0.2,589,0.2,610,0.3,217,0.1,838,0.3,492,0.1
2,6,1,2,4,他の魚介加工品,998,0.3,1072,0.4,928,0.3,789,0.4,412,0.2,1254,0.4,899,0.3
2,5,1,3,0,肉類,9050,2.8,7019,2.4,10786,3.1,6602,3.1,7185,3.6,10122,3.2,9789,2.7
2,6,1,3,1,生鮮肉,7443,2.3,5727,1.9,8915,2.5,5394,2.5,5863,2.9,8292,2.6,8101,2.3
2,6,1,3,2,加工肉,1607,0.5,1292,0.4,1871,0.5,1208,0.6,1322,0.7,1829,0.6,1688,0.5
2,5,1,4,0,乳卵類,4805,1.5,4313,1.5,5345,1.5,3703,1.7,2898,1.5,4826,1.5,4683,1.3
2,6,1,4,1,牛乳,1468,0.5,1278,0.4,1634,0.5,1410,0.7,844,0.4,1416,0.4,1444,0.4
2,6,1,4,2,乳製品,2461,0.8,2266,0.8,2747,0.8,1603,0.7,1596,0.8,2402,0.7,2373,0.7
2,6,1,4,3,卵,876,0.3,769,0.3,964,0.3,689,0.3,459,0.2,1008,0.3,866,0.2
2,5,1,5,0,野菜・海藻,11355,3.6,11254,3.8,11460,3.3,9282,4.3,5506,2.8,13034,4.1,10417,2.9
2,6,1,5,1,生鮮野菜,7959,2.5,7816,2.6,8136,2.3,6415,3,3996,2,8940,2.8,7416,2.1
2,6,1,5,2,乾物・海藻,869,0.3,860,0.3,875,0.2,625,0.3,381,0.2,1083,0.3,801,0.2
2,6,1,5,3,大豆加工品,1237,0.4,1218,0.4,1259,0.4,1015,0.5,530,0.3,1390,0.4,1135,0.3
2,6,1,5,4,他の野菜・海藻加工品,1290,0.4,1361,0.5,1190,0.3,1227,0.6,599,0.3,1622,0.5,1066,0.3
2,5,1,6,0,果物,3815,1.2,4317,1.5,3491,1,3105,1.4,1556,0.8,4136,1.3,3113,0.9
2,6,1,6,1,生鮮果物,3372,1.1,3823,1.3,3068,0.9,2856,1.3,1480,0.7,3637,1.1,2729,0.8
2,6,1,6,2,果物加工品,443,0.1,495,0.2,423,0.1,249,0.1,76,0,499,0.2,384,0.1
2,5,1,7,0,油脂・調味料,4380,1.4,3953,1.3,4814,1.4,3035,1.4,2972,1.5,4928,1.5,4481,1.3
2,6,1,7,1,油脂,473,0.1,456,0.2,494,0.1,346,0.2,408,0.2,538,0.2,456,0.1
2,6,1,7,2,調味料,3907,1.2,3496,1.2,4319,1.2,2689,1.3,2564,1.3,4391,1.4,4026,1.1
2,5,1,8,0,菓子類,6937,2.2,5655,1.9,8130,2.3,5200,2.4,5553,2.8,7184,2.2,7707,2.2
2,5,1,9,0,調理食品,12826,4,11713,3.9,13960,4,9527,4.4,8584,4.3,13944,4.4,12943,3.6
2,6,1,9,1,主食的調理食品,5579,1.7,5102,1.7,6025,1.7,3966,1.8,3356,1.7,6472,2,5550,1.6
2,6,1,9,2,他の調理食品,7247,2.3,6610,2.2,7935,2.3,5562,2.6,5229,2.6,7472,2.3,7393,2.1
2,5,1,10,0,飲料,5402,1.7,4827,1.6,5985,1.7,3793,1.8,3610,1.8,5944,1.9,5756,1.6
2,6,1,10,1,茶類,1245,0.4,1178,0.4,1296,0.4,1110,0.5,750,0.4,1368,0.4,1162,0.3
