"年度[西暦]","区分","18歳未満[人]","18歳以上[人]","合計[人]"
"2018","合計","273","578","851"
"2019","合計","284","587","871"
"2020","合計","297","612","909"
"2021","合計","319","629","948"
"2022","１度","5","36","41"
"2022","２度","88","214","302"
"2022","３度","87","158","245"
"2022","４度","152","228","380"
"2022","合計","332","636","968"

"令和5年度港区行政資料集　愛の手帳所持者数","Ver202303",,,
