1,東京都全産業活動指数,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,業種別原指数（四半期）（平成22年＝100）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,品目階層,品目番号,品目名称,ウェイト,平成20年1～3月,平成20年4～6月,平成20年7～9月,平成20年10～12月,平成21年1～3月,平成21年4～6月,平成21年7～9月,平成21年10～12月,平成22年1～3月,平成22年4～6月,平成22年7～9月,平成22年10～12月,平成23年1～3月,平成23年4～6月,平成23年7～9月,平成23年10～12月,平成24年1～3月,平成24年4～6月,平成24年7～9月,平成24年10～12月,平成25年1～3月,平成25年4～6月,平成25年7～9月,平成25年10～12月,平成26年1～3月,平成26年4～6月,平成26年7～9月,平成26年10～12月,平成27年1～3月,平成27年4～6月,平成27年7～9月,平成27年10～12月,平成28年1～3月,平成28年4～6月,平成28年7～9月,平成28年10～12月,平成29年1～3月,平成29年4～6月,平成29年7～9月,平成29年10～12月,平成30年1～3月,平成30年4～6月,平成30年7～9月,平成30年10～12月,平成31年1～3月,平成31年・令和元年4～6月,平成31年・令和元年7～9月,平成31年・令和元年10～12月,令和2年1～3月,令和2年4～6月,平成2年7～9月,平成2年10～12月,令和3年1～3月,令和3年4～6月,平成3年7～9月,平成3年10～12月
4,0,KA000000I,全産業活動指数,100,107.6,103.2,105,104.7,99.8,96.5,98.6,99.2,100.2,97.7,100.5,101.6,99.2,95.6,100.2,102,101.2,98.6,100.4,102.3,102.1,100,102.4,103.2,103.9,98.2,100.6,102.5,103.6,100.3,102.7,103.8,104.7,101.8,104,105.3,105.6,104.2,105.7,107,107.1,105.9,107.3,109.6,108.4,106.6,110.2,108.7,107.2,93.4,100.3,105.7,104.2,101.4,102.7,108.1
5,1,AA00000I,建設業活動指数,4.7,87.8,82.3,89.8,102.7,98.5,91,91.5,96.1,96.1,91.7,102,110.2,109.8,84.7,98.2,97.7,95.8,80.9,88.4,97.6,99.5,84.6,87.1,95.6,97.6,78.4,85.4,95.5,94.1,81.7,88.8,100.3,105.2,92.5,101.6,110.6,112.3,108.2,114.2,119.3,120.8,109,115.8,117.7,119.9,105.4,110.4,112.9,112.5,100.7,100.3,101.1,107.3,97,96.8,94.4
6,2,AAA0000I,民間・建築・土木活動指数,3.6,85.7,84.2,90.1,100,94.6,92,92.6,93.3,89.3,94.2,102.1,114.3,111.2,86.9,94.8,95.2,89.2,79.2,84.4,89.9,88.7,82,85.1,89.6,89.6,76.1,79.1,84.2,84.3,79.2,83.7,89.9,90.8,88.8,98,103.2,102.9,101.8,105.1,110.4,108,102.1,106.6,105.2,101.6,92,97.7,100,98.1,92,91.8,91.3,90.1,88.6,88.1,84.6
7,3,AAA1000I,民間・建築活動指数,2.8,85.2,88.1,98.1,109,99.8,100.8,102.7,103.9,97.4,96.3,102.1,104.2,97,91.1,102.4,103.2,94.3,87.7,92.4,99.2,95.1,90.6,93.7,99.2,96.4,85.3,88.2,92.5,91.1,87.9,93.7,100.2,99.3,100.3,111.8,117.8,115,114.9,120.1,125.8,121.9,116.2,119.4,116.5,109.2,100.1,106.1,108.3,104.1,99.5,101,99.4,95.9,95.7,96.7,91.9
8,4,AAA1100I,民間・建築住宅活動,1.7,104.1,106,119,132,115.8,110,109.8,109.4,98.9,92,102,107.1,97.2,91.2,105.4,107.8,100.2,95.2,104.9,113.8,106.8,101.8,108.8,116.9,115.1,101.5,103.6,108.3,104.7,100.9,107.8,114.4,111.4,109.3,119.4,122.1,116.1,116.3,123.3,129.7,123,114.3,118,118.8,112.4,100.2,105.9,110,108.3,105.6,112.1,112.8,108.6,101.2,106.3,103.2
9,4,AAA1200I,民間・建築非住宅活動,1.1,57.3,61.6,66.9,74.9,76,87.2,92.2,95.7,95.1,102.7,102.3,99.8,96.7,90.9,97.9,96.3,85.6,76.7,73.9,77.6,77.7,74,71.2,72.9,68.8,61.2,65.2,69.1,70.9,68.6,72.7,79,81.4,86.8,100.5,111.3,113.6,112.7,115.3,120.1,120.2,119,121.5,113,104.5,99.9,106.3,105.8,97.7,90.3,84.5,79.5,77.1,87.5,82.4,75
10,3,AAA2000I,民間・土木活動,0.8,87.2,70.6,62.7,69,77,61.4,57.6,56.8,61.6,87,102.2,149.2,160.1,72.7,68.7,67.9,71.9,49.9,56.9,57.7,66.7,52.3,55.4,56.5,65.8,44.6,47.8,55.3,61,49.2,49.4,54.4,61.3,49.3,50.4,53,60.9,56.9,53.5,57.4,60.1,53.5,62.3,66.1,75.4,64.1,68.7,71.2,77.6,66.3,60.1,63.3,70.1,64,58.6,59.7
11,2,AAB1000I,公共・建築・土木活動指数,1.2,94.5,76.5,88.8,110.9,110.4,88.2,88.2,104.7,116.7,84.1,101.6,97.6,105.4,77.9,108.5,105.3,115.7,86,100.3,121.2,132.4,92.7,93.4,114.1,121.9,85.2,104.7,130,124,89.3,104.2,132.3,149.2,103.6,112.4,133.2,141.1,127.5,141.9,146.5,160.1,130,144,155.9,175.6,146.2,149.4,152.5,156.6,127.2,126.2,131,159.6,122.9,123.4,124
12,3,AAB1100I,公共・建築活動,0.3,53.8,56.5,60.3,63.5,66.3,77.5,89.1,99.4,99.6,94.1,103.1,103.1,89.8,66.1,67.3,69.5,65.6,61.8,67.8,79.3,82.2,67.1,66.1,70.7,71.2,71.6,76.9,80,86.1,86.5,81.4,87.4,84.4,81.2,81.7,97.6,105.9,119.8,121.9,114.9,117.8,113,119.7,124.4,116.3,104.4,95.9,94.7,94.1,92.2,96.7,105.4,106.4,89.4,94.5,99.6
13,3,AAB1200I,公共・土木活動,0.9,107.6,83,98,126.3,124.6,91.7,87.9,106.4,122.2,80.9,101.1,95.8,110.4,81.7,121.8,116.8,131.9,93.8,110.8,134.8,148.7,101,102.2,128.2,138.3,89.6,113.7,146.2,136.3,90.2,111.5,146.8,170.1,110.9,122.3,144.7,152.5,130,148.4,156.7,173.7,135.5,151.9,166,194.7,159.7,166.6,171.2,176.8,138.4,135.7,139.3,176.8,133.8,132.7,131.9
