1,東京都全産業活動指数,,,,,,,,,,,,,,,,,
2,,,,業種別原指数（暦年）（平成22年＝100）,,,,,,,,,,,,,,
3,品目階層,品目番号,品目名称,ウェイト,平成20年,平成21年,平成22年,平成23年,平成24年,平成25年,平成26年,平成27年,平成28年,平成29年,平成30年,平成31年・令和元年,令和２年,令和３年
4,0,KA000000I,全産業活動指数,100,105.1,98.5,100,99.3,100.6,101.9,101.3,102.6,104,105.6,107.5,108.5,101.6,104.1
5,1,AA00000I,建設業活動指数,4.7,90.7,94.3,100,97.6,90.7,91.7,89.2,91.2,102.5,113.5,115.8,112.1,103.7,98.9
6,2,AAA0000I,民間・建築・土木活動指数,3.6,90,93.1,100,97,85.7,86.3,82.2,84.3,95.2,105.1,105.5,97.8,93.3,87.9
7,3,AAA1000I,民間・建築活動指数,2.8,95.1,101.8,100,98.4,93.4,94.6,90.6,93.2,107.3,119,118.5,105.9,101,95
8,4,AAA1100I,民間・建築住宅活動,1.7,115.3,111.2,100,100.4,103.5,108.6,107.1,107,115.6,121.4,118.5,107.1,109.7,104.8
9,4,AAA1200I,民間・建築非住宅活動,1.1,65.2,87.8,100,95.4,78.5,73.9,66.1,72.8,95,115.4,118.5,104.1,88,80.5
10,3,AAA2000I,民間・土木活動,0.8,72.4,63.2,100,92.3,59.1,57.7,53.4,53.5,53.5,57.1,60.5,69.8,66.8,63.1
11,2,AAB1000I,公共・建築・土木活動指数,1.2,92.7,97.9,100,99.3,105.8,108.2,110.5,112.4,124.6,139.3,147.5,155.9,135.2,132.5
12,3,AAB1100I,公共・建築活動,0.3,58.5,83,100,73.2,68.6,71.5,74.9,85.3,86.2,115.6,118.7,102.8,97.1,97.5
13,3,AAB1200I,公共・土木活動,0.9,103.7,102.7,100,107.7,117.8,120,122,121.2,137,146.9,156.8,173,147.6,143.8
14,1,KAB00000I,工業生産指数,4,115.6,87.4,100,96.6,99.9,102.2,103.9,98.9,94.3,94.4,95.8,93.5,80.9,86.2
15,1,KAC00000I,第３次産業活動指数,91.3,105.4,99.2,100,99.5,101.1,102.4,101.8,103.4,104.5,105.7,107.5,108.9,102.5,105.2
16,11,KB000000I,工業及び第３次産業の統合指数,95.3,105.8,98.7,100,99.4,101.1,102.4,101.9,103.2,104,105.2,107.1,108.3,101.5,104.4
17,11,CA00000I,建設・民間企業設備（非住宅＋土木）,1.9,68.2,77.5,100,94.1,70.3,67.1,60.8,64.7,77.6,91,94.2,89.8,79.1,73.2
18,11,CB00000I,建設・民間住宅（再掲）,1.7,115.3,111.2,100,100.4,103.5,108.6,107.1,107,115.6,121.4,118.5,107.1,109.7,104.8
19,11,CC00000I,建設・公共（再掲）,1.2,92.7,97.9,100,99.3,105.8,108.2,110.5,112.4,124.6,139.3,147.5,155.9,135.2,132.5
20,11,A000000I,＜参考系列＞全産業活動指数（直接調整法）,100,105.1,98.5,100,99.3,100.6,101.9,101.3,102.6,104,105.6,107.5,108.5,101.6,104.1
