1,東京都全産業活動指数,,,,,,,,,,,
2,,接続指数（平成17年1月～平成19年12月）（季節調整済指数）（月次）（平成22年＝100）,,,,,,,,,,
3,,注）本指数は、平成17年基準指数と平成22年基準指数で接続が可能な系列について、平成20年1～3月の時点で接続を行った接続指数です。ご利用の際は、ＨＰ掲載の「東京都全産業活動指数　平成22年（2010年）基準改定の概要」をご覧のうえ、ご活用ください。,,,,,,,,,,
4,,column0,column1,column2,column3,column4,column4,column3,column2,column3,column3,column11
5,品目番号(2010年基準),A000000I,AA00000I,AAA0000I,AAA1000I,AAA1100I,AAA1200I,AAA2000I,AAB1000I,AAB1100I,AAB1200I,A000000I
6,品目番号(2005年基準),AC00000I,AAB0000I,AABA000I,AABA100I,AABA110I,AABA120I,AABA200I,AABB000I,AABB100I,AABB200I,AB00000I
7,品目名称(2010年基準),＜参考系列＞全産業活動指数（直接調整法）,建設業活動指数,民間・建築・土木活動指数,民間・建築活動指数,民間・建築住宅活動,民間・建築非住宅活動,民間・土木活動,公共・建築・土木活動指数,公共・建築活動,公共・土木活動,＜参考系列＞全産業活動指数（直接調整法）
8,品目名称(2005年基準),全産業活動指数（農林水産業生産指数及び公務等活動指数を除く）,建設業活動指数,民間・建築・土木活動指数,民間・建築活動指数,民間・建築住宅活動,民間・建築非住宅活動,民間・土木活動,公共・建築・土木活動指数,公共・建築活動,公共・土木活動,全産業活動指数（農林水産業生産指数を除く）
9,接続係数,1.040606,1.078447,1.037163,1.201267,1.394989,0.873836,0.631654,1.114136,0.727477,1.229902,1.043353
10,平成17年1月,102.6,106.1,99.6,110.1,136.4,79,59,108.3,69.8,120.5,103.1
11,平成17年2月,102.7,104.4,99.3,117.5,138.8,80.9,59.3,110,72.2,120.8,103.1
12,平成17年3月,104.9,102.8,98.1,116.8,137.8,80.4,57,107.8,71.1,119.4,105.1
13,平成17年4月,102.6,102.5,98.4,115.5,136.2,80.3,58,103.8,70.5,114.6,102.9
14,平成17年5月,101.6,104,101.1,117.3,137.2,81.8,62,105.7,72,112.6,102.2
15,平成17年6月,103.5,105.9,104.1,120.7,139.3,88.8,62.1,103.5,74.1,112,103.8
16,平成17年7月,103.5,109.4,106,122.8,142.4,88.4,66.7,111.9,75,122.8,103.9
17,平成17年8月,104,110.8,107,122.3,141.7,88.8,68,114.5,75.7,126.7,104.3
18,平成17年9月,106.1,114,107.8,124.5,143.4,91.7,65.2,129.9,78.1,146.6,106.2
19,平成17年10月,104.6,113,106.4,124.4,141.9,93.7,63.8,121.4,73.1,136.7,104.8
20,平成17年11月,105.6,110.8,107.1,123.9,139.6,95.9,70.6,112.8,71.3,124.7,105.6
21,平成17年12月,107,110,108.6,124,138.8,97.2,69.2,108.1,70.1,119.1,106.9
22,平成18年1月,105.8,108.8,106.7,114.7,133.7,94.6,73,100.5,67.4,111,105.8
23,平成18年2月,105.9,111,109.9,122.1,136.9,94.9,81.6,103.5,66,114.2,105.9
24,平成18年3月,107.6,110.3,108,122.6,137.4,94.8,75.2,108.5,81,117.5,107.6
25,平成18年4月,106.1,110,106.4,121,136,93.5,72.8,106.7,80.5,114.8,106.2
26,平成18年5月,105.4,109,105.8,120.7,134.4,93.8,68.9,114.7,86.3,117.9,105.6
27,平成18年6月,105.7,106.8,104.4,117.7,131.8,92.4,71.7,106.2,78,114.2,105.8
28,平成18年7月,105.6,104,102.7,115.5,129.4,89.9,74.8,99.2,70.6,107.4,105.8
29,平成18年8月,105.7,104.7,105.2,116.8,130.7,91.7,77.2,94.5,72.1,100.7,105.9
30,平成18年9月,106.3,104,105,116.8,132.7,88.9,76.5,92.9,70.1,99.5,106.3
31,平成18年10月,106.2,104.3,105.8,117.3,133.9,88.2,80.1,89.7,69,95.3,106.3
32,平成18年11月,106.3,104.6,106.6,117.3,135.1,86,86.8,90.1,71,94.7,106.3
33,平成18年12月,107.5,104.4,106.1,117.4,134.8,86.8,75.9,91.5,69.3,97.3,107.2
34,平成19年1月,106.1,99.7,100.1,105,124.7,81.4,75.7,87.6,66.5,94.1,106.3
35,平成19年2月,106.7,100.7,101.4,113.7,130.5,84.3,75,88.6,63.8,94.9,106.7
36,平成19年3月,107.3,101.2,101.7,114.1,131,83.9,75.1,91.2,60.9,100.4,107.2
37,平成19年4月,106.8,103.7,103.7,113.1,131.1,82.3,83.8,92.7,59.5,104,106.8
38,平成19年5月,107,98.9,99.8,109.7,130.1,74.6,74.9,90.2,55.2,98.9,107
39,平成19年6月,106.8,99,99.9,109.3,129,75.9,78.7,85.6,52.2,97,106.8
40,平成19年7月,106.7,97.8,100.3,110.9,130.2,77.8,77.8,83,50.2,94,106.7
41,平成19年8月,107.1,93.5,94.8,103.7,122,72.7,73.7,82.9,51,93.4,107
42,平成19年9月,106.7,90.7,90.6,98.9,114.9,71.5,75.7,81.7,52.4,91.5,106.7
43,平成19年10月,106.9,89.9,90,95.5,110.4,69.7,79.7,82.7,50.8,92.3,106.8
44,平成19年11月,107.7,90.3,89.3,92.4,108.1,65.4,85.4,86,51.1,95.9,107.6
45,平成19年12月,106.1,87.4,87.3,90,106.5,61.5,81.3,80.8,50.3,88.9,106.1
