1,東京都全産業活動指数,,,,,,,,,,,,,,,,
2,,,,業種別原指数（年度）（平成22年＝100）,,,,,,,,,,,,,
3,品目階層,品目番号,品目名称,ウェイト,平成20年度,平成21年度,平成22年度,平成23年度,平成24年度,平成25年度,平成26年度,平成27年度,平成28年度,平成29年度,平成30年度,平成31年度・令和元年度,令和２年度
4,0,KA000000I,全産業活動指数,100,103.2,98.6,99.8,99.8,100.8,102.3,101.2,102.9,104.2,106,107.8,108.2,100.9
5,1,AA00000I,建設業活動指数,4.7,93.3,93.7,103.4,94.1,91.6,91.2,88.4,94,104.2,115.6,115.6,110.3,102.3
6,2,AAA0000I,民間・建築・土木活動指数,3.6,92.2,91.8,105.5,91.6,85.6,86.6,80.9,85.9,98.2,106.3,103.9,96.9,91.3
7,3,AAA1000I,民間・建築活動指数,2.8,98.7,101.2,99.9,97.7,93.6,95,89.3,95.3,111.2,120.7,115.3,104.6,99
8,4,AAA1100I,民間・建築住宅活動,1.7,118.2,107,99.6,101.2,105.2,110.7,104.5,108.6,116.7,123.1,115.9,106.1,109.8
9,4,AAA1200I,民間・建築非住宅活動,1.1,69.9,92.6,100.4,92.7,76.5,71.7,66.6,75.4,103.1,117.1,114.5,102.4,82.9
10,3,AAA2000I,民間・土木活動,0.8,69.8,59.4,124.6,70.3,57.8,57.5,52.2,53.6,53.4,56.9,64.4,70.4,65
11,2,AAB1000I,公共・建築・土木活動指数,1.2,96.6,99.5,97.2,101.8,110,105.5,111,118.7,122.6,144,151.4,151.2,136
12,3,AAB1100I,公共・建築活動,0.3,61.6,91.4,97.6,67.1,72.8,68.8,78.6,84.9,91.6,118.6,118.4,97.3,100.2
13,3,AAB1200I,公共・土木活動,0.9,108,102.1,97.1,113.1,122,117.4,121.4,129.7,132.6,152.2,162,168.6,147.6
14,1,KAB00000I,工業生産指数,4,106.9,91.3,97.9,98.6,99.5,103.9,102.8,97.3,93.8,94.5,95,92.8,79.5
15,1,KAC00000I,第３次産業活動指数,91.3,103.5,99.2,99.7,100.1,101.4,102.9,101.8,103.6,104.6,106,108,108.7,101.8
16,11,KB000000I,工業及び第３次産業の統合指数,95.3,103.7,98.9,99.6,100,101.3,102.9,101.9,103.3,104.2,105.5,107.4,108.1,100.8
17,11,CA00000I,建設・民間企業設備（非住宅＋土木）,1.9,69.8,78.7,110.5,83.3,68.7,65.8,60.6,66.3,82.3,91.9,93.5,89,75.4
18,11,CB00000I,建設・民間住宅（再掲）,1.7,118.2,107,99.6,101.2,105.2,110.7,104.5,108.6,116.7,123.1,115.9,106.1,109.8
19,11,CC00000I,建設・公共（再掲）,1.2,96.6,99.5,97.2,101.8,110,105.5,111,118.7,122.6,144,151.4,151.2,136
20,11,A000000I,＜参考系列＞全産業活動指数（直接調整法）,100,103.2,98.6,99.8,99.8,100.8,102.3,101.2,102.9,104.2,106,107.8,108.2,100.9
