年号,施設能力（千m3／日）
明31,170
明32,170
明33,170
明34,170
明35,170
明36,170
明37,170
明38,170
明39,170
明40,170
明41,170
明42,170
明43,240
明44,240
大1,240
大2,240
大3,240
大4,240
大5,240
大6,240
大7,240
大8,240
大9,240
大10,240
大11,240
大12,380
大13,380
大14,380
昭1,380
昭2,380
昭3,420
昭4,420
昭5,420
昭6,420
昭7,662
昭8,662
昭9,766
昭10,856
昭11,859
昭12,859
昭13,859
昭14,859
昭15,859
昭16,932
昭17,"1,005"
昭18,"1,005"
昭19,"1,005"
昭20,"1,019"
昭21,"1,080"
昭22,"1,080"
昭23,"1,080"
昭24,"1,080"
昭25,"1,193"
昭26,"1,199"
昭27,"1,222"
昭28,"1,222"
昭29,"1,222"
昭30,"1,222"
昭31,"1,222"
昭32,"1,222"
昭33,"1,222"
昭34,"1,526"
昭35,"1,676"
昭36,"1,859"
昭37,"1,954"
昭38,"2,046"
昭39,"2,446"
昭40,"2,746"
昭41,"3,346"
昭42,"3,346"
昭43,"3,346"
昭44,"4,092"
昭45,"4,232"
昭46,"4,880"
昭47,"4,880"
昭48,"5,340"
昭49,"5,640"
昭50,"5,940"
昭51,"6,080"
昭52,"6,080"
昭53,"6,080"
昭54,"6,080"
昭55,"6,080"
昭56,"6,080"
昭57,"6,080"
昭58,"6,080"
昭59,"6,080"
昭60,"6,630"
昭61,"6,630"
昭62,"6,630"
昭63,"6,630"
平1,"6,630"
平2,"6,630"
平3,"6,685"
平4,"6,685"
平5,"6,960"
平6,"6,960"
平7,"6,960"
平8,"6,960"
平9,"6,960"
平10,"6,960"
平11,"6,960"
平12,"6,960"
平13,"6,960"
平14,"6,960"
平15,"6,960"
平16,"6,860"
平17,"6,860"
平18,"6,860"
平19,"6,860"
平20,"6,860"
平21,"6,860"
平22,"6,860"
平23,"6,860"
平24,"6,860"
平25,"6,860"
平26,"6,860"
平27,"6,860"
平28,"6,860"
平29,"6,860"
平30,"6,860"
令1,"6,860"
令2,"6,845"
令3,"6,845"
令4,"6,845"
