施設名称,所在地,水飲み栓設置場所,入場料等,タイプ
千代田合同庁舎（水道局千代田営業所）,千代田区内神田２－１－１２,２階,,ボトルディスペンサー型
内幸町駅（都営三田線）,千代田区内幸町２－２－３先,ホーム,有料,飲み口型
岩本町駅（都営新宿線）,千代田区神田岩本町１,ホーム,有料,飲み口型
小川町駅（都営新宿線）,千代田区神田小川町１－６,ホーム,有料,飲み口型
神保町駅（都営三田線）,千代田区神田神保町２－１,ホーム,有料,飲み口型
神保町駅（都営新宿線）,千代田区神田神保町２－７,ホーム,有料,飲み口型
千代田区役所本庁舎,千代田区九段南１－２－１,２～８・１０階,,飲み口型
市ヶ谷駅（都営新宿線）,千代田区九段南４－８－２２,ホーム,有料,飲み口型
大手町駅（都営三田線）,千代田区丸の内１－３－１先,ホーム,有料,飲み口型
東京国際フォーラム,千代田区丸の内３－５－１,地上広場,,ボトルディスペンサー型
日比谷駅（都営三田線）,千代田区有楽町１－１３－１先,ホーム,有料,飲み口型
"中央区保健所等
複合施設中央区保健所",中央区明石町１２－１,１階ロビー,,飲み口型
勝どき駅（都営大江戸線）,中央区勝どき２－１０－１５先,ホーム,有料,飲み口型
宝町駅（都営浅草線）,中央区京橋２－１３－１１先,ホーム,有料,飲み口型
東銀座駅（都営浅草線）,中央区銀座４－１０－１０先,ホーム,有料,飲み口型
築地市場駅（都営大江戸線）,中央区築地５－１－２,ホーム,有料,飲み口型
月島駅（都営大江戸線）,中央区月島１－５－４先,ホーム,有料,飲み口型
月島スポーツプラザ,中央区月島１－９－２,１階ロビー,,飲み口型
月島図書館,中央区月島４－１－１,３階図書館入り口付近,,飲み口型
日本橋駅（都営浅草線）,中央区日本橋１－１３－１先,ホーム,有料,飲み口型
"日本橋小学校等
複合施設（日本橋図書館）",中央区日本橋人形町１－１－１７,６・７階,,飲み口型
人形町駅（都営浅草線）,中央区日本橋人形町３－７－１３,ホーム,有料,飲み口型
総合スポーツセンター,中央区日本橋浜町２－５９－１,地下１階観覧席・１階ロビー・２階廊下,,飲み口型
浜町駅（都営新宿線）,中央区日本橋浜町２－５９－３,ホーム,有料,飲み口型
馬喰横山駅（都営新宿線）,中央区日本橋横山町４－１３,ホーム,有料,飲み口型
東日本橋駅（都営浅草線）,中央区東日本橋３－１１－８先,ホーム,有料,飲み口型
赤坂図書館,港区青山１－３－３青山１丁目タワー３階,多目的ホール入り口前・消火栓横,,飲み口型
健康増進センター,港区赤坂４－１８－１３赤坂コミュニティーぷらざ６階,"リラクゼーションコーナー
第二トレーニングルーム",一部有料,飲み口型
六本木駅（都営大江戸線）,港区赤坂９－７－３９,ホーム,有料,飲み口型
