全業種種類別排出量,(千t),(％)
上水汚泥,468,1.9
下水汚泥,13066,53.1
建設汚泥,2285,9.3
その他の汚泥,643,2.6
がれき類,5868,23.9
その他,2262,9.2
合　計,24592,100.0
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
