業種別減量化状況,(千t),(％)
東京都,204,28.4
栃木県,117,16.3
神奈川県,111,15.4
千葉県,40,5.6
群馬県,6,0.9
茨城県,1,0.2
埼玉県,239,33.2
合計,718,100
,,
