種類別排出量の比率,,,,,,
年度,がれき類（%）,石綿含有産業廃棄物（%）,ばいじん（%）,その他（%）,合計（%）,
25,70.3,21.5,4.7,3.6,100.0,
24,73.1,11.5,11.5,15.4,100.0,
