11_学術，専門　種類別排出量,,,,,,,,,
年度,廃プラスチック類（千t）,廃アルカリ（千t）,汚泥（千t）,感染性廃棄物（千t）,特定有害産業廃棄物（千t）,がれき類（千t）,その他（千t）,合計（千t）,
25,8,5,5,1,3,2,6,31,
24,7,1,1,42,0,,11,62,
