処分先,合計（千t）,燃え殻（千t）,汚泥（千t）,汚泥（内、上水汚泥）（千t）,汚泥（内、下水汚泥）（千t）,汚泥（内、建設汚泥）（千t）,汚泥（内、その他の汚泥）（千t）,廃油（千t）,廃酸（千t）,廃アルカリ（千t）,廃プラスチック類（千t）,ゴムくず（千t）,金属くず（千t）,ガラス・陶磁器くず（千t）,鉱さい（千t）,がれき類（千t）,がれき類（内、コンクリート塊）（千t）,がれき類（内、アスファルト･コンクリート塊）（千t）,がれき類（内、その他のがれき類）（千t）,石綿含有産業廃棄物（千t）,ばいじん（千t）,紙くず（千t）,木くず（千t）,繊維くず（千t）,動植物性残さ（千t）,動物系固形不要物（千t）,動物のふん尿（千t）,動物の死体（千t）,政令13号物（千t）,混合廃棄物（千t）,その他（千t）,,処分先,特別管理産業廃棄物（千t）,特別管理産業廃棄物（内、廃油）（千t）,特別管理産業廃棄物（内、廃酸）（千t）,特別管理産業廃棄物（内、廃アルカリ）（千t）,特別管理産業廃棄物（内、感染性廃棄物）（千t）,特別管理産業廃棄物（内、特定有害廃棄物）（千t）,特別管理産業廃棄物（内、特定有害廃棄物内、廃ＰＣＢ等）（千t）,特別管理産業廃棄物（内、特定有害廃棄物内、廃石綿等）（千t）,特別管理産業廃棄物（内、特定有害廃棄物内、その他）（千t）,特別管理産業廃棄物（内、特定有害廃棄物内、その他内、指定下水道汚泥）（千t）,特別管理産業廃棄物（内、特定有害廃棄物内、その他内、鉱さい）（千t）,特別管理産業廃棄物（内、特定有害廃棄物内、その他内、燃え殻）（千t）,特別管理産業廃棄物（内、特定有害廃棄物内、その他内、ばいじん）（千t）,特別管理産業廃棄物（内、特定有害廃棄物内、その他内、廃油）（千t）,特別管理産業廃棄物（内、特定有害廃棄物内、その他内、汚泥）（千t）,特別管理産業廃棄物（内、特定有害廃棄物内、その他内、廃酸）（千t）,特別管理産業廃棄物（内、特定有害廃棄物内、その他内、廃アルカリ）（千t）,,
合計,1226,0,434,,,,434,15,32,27,79,0,24,412,41,36,24,12,0,0,4,18,19,0,48,,,,,1,0,,合計,34,2,20,2,0,10,0,0,10,0,,,7,1,0,0,2,,
北海道,0,,0,,,,0,,0,,,,0,0,,,,,,,,,,,,,,,,,0,,北海道,0,,,,,0,,,0,,,,,,0,,,,
青森県,2,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,青森県,,,,,,,,,,,,,,,,,,,
岩手県,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,岩手県,,,,,,,,,,,,,,,,,,,
宮城県,0,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,宮城県,0,0,,,,,,,,,,,,,,,,,
秋田県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,秋田県,,,,,,,,,,,,,,,,,,,
山形県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山形県,,,,,,,,,,,,,,,,,,,
福島県,10,,0,,,,0,0,0,0,0,,,0,,,,,,,3,,,,,,,,,,,,福島県,6,0,0,0,,6,0,,6,,,,6,,0,,,,
茨城県,10,,4,,,,4,1,0,0,1,,0,0,1,,,,,0,,,,,1,,,,,,,,茨城県,1,0,0,,,0,,0,0,,,,0,0,,,,,
栃木県,122,,7,,,,7,2,0,1,0,,0,110,,0,0,,,,,,,,2,,,,,,0,,栃木県,1,1,0,,,,,,,,,,,,,,,,
群馬県,25,,4,,,,4,0,0,0,3,,0,13,,,,,,,,0,0,,4,,,,,0,0,,群馬県,0,0,0,,,0,,,0,,,,,0,0,,,,
埼玉県,127,,20,,,,20,2,12,3,26,,5,2,30,3,3,0,0,,,2,3,0,11,,,,,1,0,,埼玉県,5,0,3,1,,1,0,,1,,,,,0,0,0,1,,
千葉県,61,,2,,,,2,2,1,0,3,,0,12,9,12,4,8,,,1,1,1,,16,,,,,0,0,,千葉県,1,0,,,0,0,0,,0,0,,,,0,0,,0,,
東京都,762,0,388,,,,388,7,3,2,41,0,17,237,1,20,16,4,0,0,0,13,14,0,7,,,,,0,0,,東京都,14,0,13,1,0,0,0,0,0,0,,,,0,0,0,0,,
神奈川県,85,0,7,,,,7,1,11,16,4,,1,37,0,0,0,,0,,,0,1,,5,,,,,0,0,,神奈川県,1,0,1,0,0,0,,,0,0,,,0,0,0,0,0,,
新潟県,1,,0,,,,0,,0,0,0,,0,0,,0,,,0,,,,,,,,,,,,,,新潟県,0,,0,,,0,,,0,,,,,,0,0,0,,
富山県,2,,1,,,,1,0,1,,0,,,0,,,,,,,,,,,,,,,,,,,富山県,0,,,,,0,0,,0,,,,,,0,0,0,,
石川県,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,石川県,,,,,,,,,,,,,,,,,,,
福井県,0,,,,,,,0,,,,,,0,,,,,,,,,,,,,,,,,,,福井県,,,,,,,,,,,,,,,,,,,
山梨県,3,,,,,,,,,,0,,0,1,,,,,,,,,0,,1,,,,,,,,山梨県,,,,,,,,,,,,,,,,,,,
長野県,6,,0,,,,0,0,0,5,0,,,0,,,,,,,,,0,,,,,,,,,,長野県,0,0,,,,0,,,0,,,,,,0,0,0,,
岐阜県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,岐阜県,,,,,,,,,,,,,,,,,,,
静岡県,1,,,,,,,,,,,,0,,,,,,,,,1,,,,,,,,,,,静岡県,,,,,,,,,,,,,,,,,,,
愛知県,0,,,,,,,0,,0,0,,0,,,,,,,,,,,,,,,,,,,,愛知県,0,0,,,,0,0,,,,,,,,,,,,
三重県,0,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,三重県,,,,,,,,,,,,,,,,,,,
滋賀県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,滋賀県,,,,,,,,,,,,,,,,,,,
京都府,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,京都府,,,,,,,,,,,,,,,,,,,
大阪府,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,大阪府,,,,,,,,,,,,,,,,,,,
兵庫県,8,,0,,,,0,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,兵庫県,4,0,3,0,,1,,,1,,,,,1,,0,0,,
奈良県,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,奈良県,,,,,,,,,,,,,,,,,,,
和歌山県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,和歌山県,,,,,,,,,,,,,,,,,,,
鳥取県,0,,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,鳥取県,0,,,,0,,,,,,,,,,,,,,
島根県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,島根県,,,,,,,,,,,,,,,,,,,
岡山県,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,岡山県,0,,,,,0,0,,,,,,,,,,,,
広島県,1,,0,,,,0,0,0,,0,,,,,,,,,,,,,,,,,,,,,,広島県,0,0,,,,0,,,0,,,,,,0,,,,
山口県,0,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,山口県,,,,,,,,,,,,,,,,,,,
徳島県,0,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,徳島県,0,,0,0,,0,,,0,0,,,,,,,,,
香川県,0,,,,,,,,,,0,,0,0,,,,,,,,,0,,,,,,,,,,香川県,,,,,,,,,,,,,,,,,,,
愛媛県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,愛媛県,,,,,,,,,,,,,,,,,,,
高知県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,高知県,,,,,,,,,,,,,,,,,,,
福岡県,0,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,福岡県,0,0,,,,0,,,0,,,,,0,0,0,,,
佐賀県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,佐賀県,,,,,,,,,,,,,,,,,,,
長崎県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,長崎県,,,,,,,,,,,,,,,,,,,
熊本県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,熊本県,,,,,,,,,,,,,,,,,,,
大分県,0,,0,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,大分県,0,,,,,0,,,0,,,,,,0,,,,
宮崎県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宮崎県,,,,,,,,,,,,,,,,,,,
鹿児島県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鹿児島県,,,,,,,,,,,,,,,,,,,
沖縄県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,沖縄県,,,,,,,,,,,,,,,,,,,
北海道,0,,0,,,,0,,0,,,,0,0,,,,,,,,,,,,,,,,,0,,北海道,0,,,,,0,,,0,,,,,,0,,,,
東北,12,,0,,,,0,0,0,0,1,,,0,,,,,,,3,2,,,,,,,,,,,東北,6,0,0,0,,6,0,,6,,,,6,,0,,,,
関東,1193,0,432,,,,432,15,28,22,78,0,24,411,41,36,24,12,0,0,1,16,19,0,47,,,,,1,0,,関東,23,2,16,2,0,2,0,0,2,0,,,0,0,0,0,2,,
甲信越,11,,2,,,,2,0,1,5,0,,0,1,,0,,,0,,,,0,,1,,,,,,,,甲信越,1,0,0,,,1,0,,1,,,,,,0,0,0,,
東海・中部,1,,,,,,,0,0,0,0,,0,,,,,,,,,1,,,,,,,,,,,東海・中部,0,0,,,,0,0,,,,,,,,,,,,
近畿,8,,0,,,,0,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,近畿,4,0,3,0,,1,,,1,,,,,1,,0,0,,
中国・四国,1,,0,,,,0,0,0,0,0,,0,0,,,,,,,,,0,,,,,,,,,,中国・四国,0,0,0,0,0,0,0,,0,0,,,,,0,,,,
九州・沖縄,0,,0,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,九州・沖縄,0,0,,,,0,,,0,,,,,0,0,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
