種類,東京都内中間処理量(平成24年度),都内処理率(平成24年度）,東京都内中間処理量（平成25年度）,都内処理率（平成25年度）,東京都外中間処理量（平成24年度）,都外処理率（平成24年度）,東京都外中間処理量（平成25年度）,都外処理率（平成25年度）
汚泥,14086,84.90%,14404,87.50%,2506,15.10%,2051,12.50%
汚泥(内、上水汚泥）,504,100.00%,468,100.00%,0,0.00%,0,0.00%
汚泥(内、下水汚泥）,13176,100.00%,13061,100.00%,2,0.00%,5,0.00%
汚泥(内、建設汚泥）,173,7.10%,342,15.00%,2259,92.90%,1938,85.00%
汚泥(内、その他の汚泥）,233,48.70%,533,83.30%,245,51.30%,107,16.70%
廃油,17,53.10%,12,37.60%,15,46.90%,19,62.40%
廃酸,0,0.00%,4,11.50%,5,100.00%,30,88.50%
廃アルカリ,0,0.00%,7,21.00%,8,100.00%,26,79.00%
廃プラスチック類,144,48.80%,183,60.80%,151,51.20%,118,39.20%
金属くず,65,41.10%,99,69.00%,93,58.90%,44,31.00%
ガラス・陶磁器くず,184,31.90%,370,55.00%,393,68.10%,303,45.00%
がれき類,2160,45.50%,3057,52.30%,2585,54.50%,2784,47.70%
木くず,100,36.50%,123,35.10%,174,63.50%,226,64.90%
混合廃棄物,149,46.00%,122,36.80%,175,54.00%,209,63.20%
特別管理産業廃棄物,35,37.30%,33,28.90%,60,62.70%,82,71.10%
特別管理産業廃棄物（内、感染性廃棄物）,31,44.20%,19,53.40%,40,55.80%,16,46.60%
その他,60,40.80%,107,51.30%,87,59.20%,102,48.70%
合計,17000,73.10%,18521,75.50%,6252,26.90%,5995,24.50%
上下水汚泥除く計,3320,34.70%,4991,45.50%,6250,65.30%,5987,54.50%
