,再生利用量（千t）,減量化量（千t）,最終処分量（千t）,排出量（千t）
昭和57年,34,9387,600,10021
昭和62年,27,12178,389,12594
平成04年度,51,12698,362,13111
平成09年度,62,11651,175,11888
平成10年度,64,12058,232,12354
平成11年度,68,13132,119,13319
平成12年度,64,14111,106,14281
平成13年度,80,13242,54,13376
平成14年度,75,12514,63,12652
平成15年度,49,12543,33,12625
平成16年度,69,11101,31,11202
平成17年度,72,10858,90,11019
平成18年度,73,13035,28,13136
平成19年度,74,12960,27,13062
平成20年度,45,13010,29,13084
平成21年度,150,14114,22,14286
平成22年度,326,13534,17,13877
平成23年度,44,14346,93,14483
平成24年度,46,13629,104,13779
平成25年度,12,13437,89,13538
