業種別減量化状況,(千t),(％),
東京都,18521,76.1,
埼玉県,2428,10.0,
千葉県,2000,8.2,
神奈川県,1130,4.6,
栃木県,187,0.8,
群馬県,42,0.2,
茨城県,37,0.2,
合計,24345,100.0,
,,,
,,,
,,,
