区  分/業  種,（A） 調査対象事業所数,（B） 抽  出　事業所数,（C） 回  収事業所数,（D）有  効回答数,（E）集計発生量,（F）推計発生量,（G）捕捉率
,（件）,（件）,（件）,（件）,（千t/年）,（千t/年）,（E）÷（F）(%)
合計,40352,20000,3562,3141,24064,24738,97.3
農業，林業,50,32,6,3,42,42,100.0
建設業,7775,3900,735,593,9364,9364,100.0
製造業,13051,9014,1332,1125,984,1348,73.0
電気・水道業,145,64,31,31,13565,13565,100.0
情報通信業,500,399,67,64,3,24,12.5
運輸業,3603,1207,218,210,20,47,42.6
卸売，小売業,2502,1160,233,227,30,115,26.1
不動産業,2700,584,56,55,5,68,7.4
学術，専門,506,305,54,54,6,42,14.3
宿泊，飲食業,4300,670,77,75,8,28,28.6
生活，娯楽,800,360,21,20,0,3,0.0
教育，学習,702,323,42,37,1,24,4.2
医療，福祉,3416,1826,671,628,31,59,52.5
サービス業,302,156,19,19,5,8,62.5
