年度,合　計（%）,上水汚泥（%）,下水汚泥（%）,建設汚泥（%）,その他の汚泥（%）,廃酸（%）,廃アルカリ（%）,廃プラスチック類（%）,がれき類（%）,木くず（%）,混合廃棄物（%）,その他（%）
24,65.8,92.8,99.2,46.0,75.7,80.0,62.5,25.4,1.9,5.5,3.9,17.4
25,61.6,94.1,99.5,26.5,82.1,79.7,91.3,29.9,0.2,70.3,0.0,1.2
,,,,,,,,,,,,
