再生利用量,建設業（千t）,製造業（千t）,その他（千t）,合計（千t）
昭和57年,1455,473,52,1980
昭和62年,2642,384,86,3112
平成04年度,3189,371,90,3650
平成09年度,4102,305,206,4613
平成10年度,4853,194,190,5237
平成11年度,5939,228,194,6361
平成12年度,4522,205,186,4913
平成13年度,5250,255,212,5717
平成14年度,4352,681,138,5171
平成15年度,6146,418,173,6737
平成16年度,5449,322,192,5963
平成17年度,6184,176,243,6603
平成18年度,7140,283,414,7836
平成19年度,6807,413,345,7566
平成20年度,5221,278,308,5807
平成21年度,5693,151,430,6274
平成22年度,5604,305,644,6553
平成23年度,5969,289,370,6628
平成24年度,6493,313,388,7194
平成25年度,7803,584,306,8694
,,,,
