年度,合　計（千t）,建設業（千t）,製造業（千t）,上下水道業（千t）,農業，林業（千t）,電気・ガス・熱供給業（千t）,情報通信業（千t）,運輸業（千t）,卸売，小売業（千t）,不動産業（千t）,学術，専門（千t）,宿泊，飲食業（千t）,生活，娯楽業（千t）,教育，学習（千t）,医療，福祉（千t）,サービス業（千t）,自動車整備業（千t）,
24,877,436,238,104,1,4,7,9,16,25,7,10,7,1,7,,5,
25,747,499,105,89,0,9,0,4,5,15,2,2,1,9,6,1,1,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
