年度,合　計（千t）,建設業（千t）,製造業（千t）,上下水道業（千t）,農業，林業（千t）,電気・ガス・熱供給業（千t）,情報通信業（千t）,運輸業（千t）,卸売，小売業（千t）,不動産業（千t）,学術，専門（千t）,宿泊，飲食業（千t）,生活，娯楽業（千t）,教育，学習（千t）,医療，福祉（千t）,サービス業（千t）,自動車整備業（千t）,
24,15497,1243,440,13631,20,2,4,20,31,10,42,18,3,2,27,,4,
25,15152,1053,553,13437,15,0,1,3,15,12,14,7,2,4,35,0,1,15152
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
