年度,合計（千t）,上水汚泥（千t）,下水汚泥（千t）,建設汚泥（千t）,その他の汚泥（千t）,廃プラスチック類（千t）,木くず（千t）,ガラス・陶磁器くず（千t）,がれき類（千t）,混合廃棄物（千t）,その他（千t）
24,877,36,65,74,25,40,11,317,105,144,60
25,747,26,62,51,16,36,3,139,223,145,46
,,,,,,,,,,,
,,,,,,,,,,,
