年度,合　計（千t）,建設業（千t）,製造業（千t）,上下水道業（千t）,農業，林業（千t）,電気・ガス・熱供給業（千t）,情報通信業（千t）,運輸業（千t）,卸売，小売業（千t）,不動産業（千t）,宿泊，飲食業（千t）,学術，専門（千t）,生活，娯楽業（千t）,教育，学習（千t）,医療，福祉（千t）,サービス業（千t）,自動車整備業（千t）,
24,7194,6493,313,46,35,20,31,50,54,49,30,13,11,2,14,,33,
25,8694,7803,584,12,27,17,14,39,85,42,18,15,1,10,18,4,3,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
