,汚泥（千t）,ガラス・陶磁器くず（千t）,廃プラスチック類（千t）,動植物性残さ（千t）,鉱さい（千t）,がれき類（千t）,金属くず（千t）,木くず（千t）,その他（千t）,製造業計（千t）
昭和57年,1555,21,103,21,237,1,48,17,156,2159
昭和62年,1618,37,106,67,178,2,22,39,138,2208
平成04年度,1495,38,147,71,124,10,63,135,253,2336
平成09年度,1659,,,,,,,,608,2267
平成10年度,1563,18,84,16,69,0,51,4,208,2013
平成11年度,1346,58,88,14,44,0,80,8,243,1881
平成12年度,1122,47,73,11,38,0,65,30,196,1583
平成13年度,1192,66,91,13,48,0,63,40,249,1761
平成14年度,1397,57,52,59,,0,42,4,138,1749
平成15年度,919,387,77,50,5,30,58,9,239,1774
平成16年度,551,25,25,54,88,64,140,10,386,1343
平成17年度,527,7,65,39,67,0,84,1,306,1096
平成18年度,620,187,61,38,187,26,112,8,50,1289
平成19年度,768,128,70,44,33,7,96,9,318,1473
平成20年度,637,182,61,33,18,23,31,6,156,1147
平成21年度,483,149,33,28,0,7,21,5,64,790
平成22年度,273,212,37,25,14,120,8,8,57,754
平成23年度,366,444,43,27,18,7,10,8,53,976
平成24年度,431,421,35,22,13,0,9,9,51,991
平成25年度,437,414,85,49,42,36,24,19,135,1242
