年度,合　計（%）,建設業（%）,製造業（%）,上下水道業（%）,農業，林業（%）,電気・ガス・熱供給業（%）,情報通信業（%）,運輸業（%）,卸売，小売業（%）,不動産業（%）,学術，専門（%）,宿泊，飲食業（%）,生活，娯楽業（%）,教育，学習（%）,医療，福祉（%）,サービス業（%）,自動車整備業（%）,
24,30.5,79.5,31.6,0.3,62.5,76.9,73.8,63.3,53.5,58.3,21.0,51.7,52.4,38.2,29.2,,78.6,
25,35.4,83.4,47.1,0.1,64.6,65.9,89.1,84.1,80.9,60.9,47.4,66.0,32.7,44.5,30.7,86.0,69.7,
,,,,,,,,,,,,,,,,,,
