,建設汚泥（千t）,その他の汚泥（千t）,木くず（千t）,廃プラスチック類（千t）,その他（千t）,上下水道業を除く合計（千t）
昭和57年,1392,1254,5,11,52,2713
昭和62年,645,1399,36,9,52,2141
平成04年度,564,1400,193,68,145,2370
平成09年度,2308,1596,124,78,368,4474
平成10年度,1982,1566,62,56,321,3987
平成11年度,2412,1337,133,57,416,4355
平成12年度,2121,1082,101,49,346,3700
平成13年度,2263,1134,99,58,482,4036
平成14年度,1874,569,0,18,887,3348
平成15年度,1297,854,8,53,592,2804
平成16年度,2472,530,13,58,698,3771
平成17年度,1037,490,37,107,407,2078
平成18年度,971,613,135,154,297,2171
平成19年度,945,745,147,111,469,2417
平成20年度,1029,514,18,45,459,2065
平成21年度,1098,448,17,76,324,1962
平成22年度,1046,197,17,84,348,1692
平成23年度,961,318,19,84,367,1749
平成24年度,1121,362,15,76,292,1866
平成25年度,605,528,245,93,244,1715
