03_上下水道業種類別排出量,,,,,,,,,,
年度,下水汚泥（千t）,上水汚泥（千t）,その他（千t）,合計（千t）,,,,,,
25,13066,468,3,13538,,,,,,
24,13237,539,3,13779,,,,,,
