10_不動産業　種類別排出量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
年度,廃プラスチック類（千t）,金属くず（千t）,混合廃棄物（千t）,がれき類（千t）,ガラス・陶磁器くず（千t）,その他（千t）,合計（千t）,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,14,14,14,10,5,11,68,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,9,19,6,14,12,84,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
