全業種種類別減量化量,(千t),(％),
上水汚泥,441,2.9,
下水汚泥,12995,85.8,
建設汚泥,605,4.0,
その他の汚泥,528,3.5,
木くず,245,1.6,
その他,337,2.2,
減量化量計,15152,100.0,
,,,
