業種,H25排出量計,H26排出量計,H27排出量計,H28排出量計,H29排出量計,H30排出量計,H31排出量計,H32排出量計,H33排出量計,H34排出量計,H35排出量計,H36排出量計
建設業（千t）,9354648,9539870,9794410,10012467,10214153,10392079,10552698,10709295,10848024,10982170,11104809,11222397
製造業（千t）,1241881,1288547,1294726,1300318,1305427,1310114,1314446,1318876,1323000,1326846,1330454,1333843
上下水道業（千t）,13537879,13611390,13646318,13652680,13665271,13684359,13709810,13741624,13723890,13688420,13635487,13565090
その他（千t）,458036,458036,458036,458036,458036,458036,458036,458036,450227,450227,450227,450227
