業種区分,普通報告,普通計画,特管報告,特管計画
農業，林業,0,0,0,0
建設業,300,299,18,17
製造業,72,72,27,27
電気・水道業,25,25,1,1
情報通信業,1,1,0,0
運輸業,1,1,2,2
不動産業,4,4,0,0
卸売，小売業,2,2,0,0
学術，専門,0,0,2,2
宿泊，飲食業,1,1,0,0
生活，娯楽業,0,0,0,0
教育，学習,0,0,2,2
医療，福祉,1,1,88,88
サービス業,0,0,0,0
合計,407,406,140,139
