処分先,合計（千t）,燃え殻（千t）,汚泥（千t）,汚泥（内、上水汚泥）（千t）,汚泥（内、下水汚泥）（千t）,汚泥（内、建設汚泥）（千t）,汚泥（内、その他の汚泥）（千t）,廃油（千t）,廃酸（千t）,廃アルカリ（千t）,廃プラスチック類（千t）,ゴムくず（千t）,金属くず（千t）,ガラス・陶磁器くず（千t）,鉱さい（千t）,がれき類（千t）,がれき類（内、コンクリート塊）（千t）,がれき類（内、アスファルト･コンクリート塊）（千t）,がれき類（内、その他のがれき類）（千t）,石綿含有産業廃棄物（千t）,ばいじん（千t）,紙くず（千t）,木くず（千t）,繊維くず（千t）,動植物性残さ（千t）,動物系固形不要物（千t）,動物のふん尿（千t）,動物の死体（千t）,政令13号物（千t）,混合廃棄物（千t）,その他（千t）,,処分先,特別管理産業廃棄物（千t）,特別管理産業廃棄物（内、廃油）（千t）,特別管理産業廃棄物（内、廃酸）（千t）,特別管理産業廃棄物（内、廃アルカリ）（千t）,特別管理産業廃棄物（内、感染性廃棄物）（千t）,特別管理産業廃棄物（内、特定有害廃棄物）（千t）,特別管理産業廃棄物（内、特定有害廃棄物内、廃ＰＣＢ等）（千t）,特別管理産業廃棄物（内、特定有害廃棄物内、廃石綿等）（千t）,特別管理産業廃棄物（内、特定有害廃棄物内、その他）（千t）,特別管理産業廃棄物（内、特定有害廃棄物内、その他内、指定下水道汚泥）（千t）,特別管理産業廃棄物（内、特定有害廃棄物内、その他内、鉱さい）（千t）,特別管理産業廃棄物（内、特定有害廃棄物内、その他内、燃え殻）（千t）,特別管理産業廃棄物（内、特定有害廃棄物内、その他内、ばいじん）（千t）,特別管理産業廃棄物（内、特定有害廃棄物内、その他内、廃油）（千t）,特別管理産業廃棄物（内、特定有害廃棄物内、その他内、汚泥）（千t）,特別管理産業廃棄物（内、特定有害廃棄物内、その他内、廃酸）（千t）,特別管理産業廃棄物（内、特定有害廃棄物内、その他内、廃アルカリ）（千t）,,
合計,9298,0,2455,,,2281,175,6,0,1,81,0,64,240,4,5772,3649,998,1126,28,0,30,300,6,,,,,0,306,0,,合計,3,0,0,0,,3,0,3,0,,,0,0,,0,0,0,,
北海道,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,北海道,,,,,,,,,,,,,,,,,,,
青森県,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,青森県,0,,,,,0,,0,,,,,,,,,,,
岩手県,1,,0,,,0,,,,,,,,,,1,,1,,,,,,,,,,,,0,,,岩手県,,,,,,,,,,,,,,,,,,,
宮城県,16,,1,,,1,,,,,,,,,,14,14,,,1,,,,,,,,,,0,,,宮城県,0,,,,,0,,0,,,,,,,,,,,
秋田県,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,秋田県,,,,,,,,,,,,,,,,,,,
山形県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山形県,,,,,,,,,,,,,,,,,,,
福島県,8,,,,,,,0,,,0,,0,0,,0,,,0,8,,0,0,0,,,,,,0,,,福島県,0,0,,0,,,,,,,,,,,,,,,
茨城県,20,,0,,,0,,0,,,0,,0,0,,7,7,0,,1,,,1,1,,,,,,7,,,茨城県,2,,0,,,2,,2,,,,,,,,,,,
栃木県,57,,7,,,7,,0,,0,0,,0,0,,47,27,3,17,,,0,0,0,,,,,,2,,,栃木県,,,,,,,,,,,,,,,,,,,
群馬県,14,,,,,,,0,,,0,,0,0,,1,1,0,1,4,,,9,0,,,,,,0,,,群馬県,,,,,,,,,,,,,,,,,,,
埼玉県,2228,,720,,,716,4,0,0,0,14,,11,60,4,1226,898,131,196,2,,5,82,1,,,,,0,103,0,,埼玉県,0,,0,,,,,,,,,,,,,,,,
千葉県,1920,,996,,,955,42,3,0,0,2,,3,15,,847,694,27,126,0,,1,39,0,,,,,,15,,,千葉県,0,,,,,0,0,,,,,,,,,,,,
東京都,3930,0,470,,,342,128,2,0,0,47,0,39,121,0,3024,1710,733,582,11,0,16,92,2,,,,,0,106,0,,東京都,0,0,0,0,,0,,0,0,,,0,0,,0,0,0,,
神奈川県,1001,0,208,,,208,1,0,0,0,15,,12,42,,573,266,103,204,1,0,7,71,0,,,,,,72,0,,神奈川県,0,,0,0,,0,,0,0,,,,,,0,0,,,
新潟県,1,,,,,,,,,,0,,,0,,0,0,0,0,,,0,0,,,,,,,0,,,新潟県,,,,,,,,,,,,,,,,,,,
富山県,0,,,,,,,,,,,,0,,,,,,,0,,,,,,,,,,,,,富山県,,,,,,,,,,,,,,,,,,,
石川県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,石川県,,,,,,,,,,,,,,,,,,,
福井県,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,福井県,,,,,,,,,,,,,,,,,,,
山梨県,43,,,,,,,,,,2,,0,1,,31,31,,0,,,0,6,,,,,,,2,,,山梨県,,,,,,,,,,,,,,,,,,,
長野県,0,,,,,,,,,,0,,,,,,,,,0,,,,,,,,,,,,,長野県,0,,,,,0,,0,,,,,,,,,,,
岐阜県,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,岐阜県,0,,,,,0,,0,,,,,,,,,,,
静岡県,2,,,,,,,,,,0,,0,1,,,,,,,,0,1,0,,,,,,0,,,静岡県,,,,,,,,,,,,,,,,,,,
愛知県,0,,,,,,,,,,0,,,0,,,,,,,,,0,,,,,,,0,,,愛知県,0,,,,,0,,0,,,,,,,,,,,
