09_教育，学習　種類別排出量,,,,,,
年度,廃プラスチック類（千t）,金属くず（千t）,汚泥（千t）,感染性廃棄物（千t）,その他（千t）,合計（千t）
25,12,4,2,0,5,24
24,2,,,1,3,5
