年度,合　計（%）,建設業（%）,製造業（%）,上下水道業（%）,農業，林業（%）,電気・ガス・熱供給業（%）,情報通信業（%）,運輸業（%）,卸売，小売業（%）,不動産業（%）,学術，専門（%）,宿泊，飲食業（%）,生活，娯楽業（%）,教育，学習（%）,医療，福祉（%）,サービス業（%）,自動車整備業（%）,
24,3.7,5.3,24.0,0.8,1.8,15.4,16.7,11.4,15.8,29.8,11.3,17.2,33.3,19.1,14.6,0.0,11.9,
25,3.0,5.3,8.4,0.7,0.0,32.9,2.7,9.5,4.7,21.9,7.4,8.5,19.3,37.7,10.9,13.3,13.5,
