全業種種類別再生利用量,(千t),(％)
上水汚泥,2,0.0
下水汚泥,8,0.1
建設汚泥,1628,18.7
その他の汚泥,99,1.1
廃プラスチック類,182,2.1
木くず,101,1.2
金属くず,133,1.5
ガラス・陶磁器くず,516,5.9
がれき類,5635,64.8
混合廃棄物,191,2.2
その他,199,2.3
再生利用量計,8694,100.0
