,汚泥（千t）,がれき類（千t）,ガラス・陶磁器くず（千t）,混合廃棄物（千t）,その他（千t）,合計（千t）
昭和57年,795,1217,,,128,2140
昭和62年,1620,1505,341,,214,3680
平成04年度,2182,1815,385,,887,5269
平成09年度,,,,,,2862
平成10年度,1481,1066,124,216,149,3036
平成11年度,549,335,124,260,140,1408
平成12年度,1365,242,91,218,103,2019
平成13年度,1252,271,95,209,105,1932
平成14年度,1208,6,14,223,539,1990
平成15年度,646,20,28,104,225,1023
平成16年度,868,25,78,189,72,1232
平成17年度,473,125,71,36,97,802
平成18年度,438,220,106,172,62,998
平成19年度,196,271,161,127,90,845
平成20年度,237,136,80,94,57,604
平成21年度,184,184,65,78,43,554
平成22年度,168,146,77,72,44,507
平成23年度,64,97,80,92,257,590
平成24年度,74,104,83,117,58,436
平成25年度,55,211,58,136,40,499
,,,,,,
