処分先,合計,燃え殻,汚泥,汚泥（内、上水汚泥）,汚泥（内、下水汚泥）,汚泥（内、建設汚泥）,汚泥（内、その他の汚泥）,廃油,廃酸,廃アルカリ,廃プラスチック類,ゴムくず,金属くず,ガラス・陶磁器くず,鉱さい,がれき類,がれき類（内、コンクリート塊）,がれき類（内、アスファルト･コンクリート塊）,がれき類（内、その他のがれき類）,石綿含有産業廃棄物,ばいじん,紙くず,木くず,繊維くず,動植物性残さ,動物系固形不要物,動物のふん尿,動物の死体,政令13号物,混合廃棄物,その他
合計,24516,3,16455,468,13066,2281,640,31,34,33,302,0,143,673,45,5842,3698,1015,1129,34,5,48,349,6,48,,41,,0,331,10
北海道,0,,0,,,,0,,0,,0,,0,0,,,,,,,,,,,,,,,,,0
青森県,2,,,,,,,,,,,,,,,,,,,,,2,,0,,,,,,,
岩手県,1,,0,,,0,,,,,0,,,,,1,,1,,,,,,,,,,,,0,
宮城県,16,,2,,,1,0,0,,,0,,,,,14,14,,,1,,,,,,,,,,0,
秋田県,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
山形県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
福島県,19,,0,,,,0,0,0,0,1,,0,0,,0,,,0,8,3,0,0,0,,,,,,0,
茨城県,37,,5,,,0,5,1,0,0,2,0,0,0,1,13,13,0,,1,0,,1,1,1,,,,,7,
栃木県,187,,17,,2,7,8,2,0,1,3,,0,110,,47,27,3,17,,,0,2,0,2,,,,,2,0
群馬県,42,,4,,,,4,0,0,0,4,,0,13,,1,1,0,1,4,,0,9,0,4,,,,,0,0
埼玉県,2428,2,751,,3,716,32,5,13,3,70,0,19,67,34,1236,904,135,197,2,,7,91,1,11,,,,0,107,1
千葉県,2000,,1000,,,955,45,9,1,1,7,,4,27,9,860,700,35,126,0,1,2,40,0,16,,,,,15,0
東京都,18521,0,14404,468,13061,342,533,12,4,7,183,0,99,370,1,3057,1737,738,582,17,1,29,123,2,7,,41,,0,122,8
神奈川県,1130,0,219,,0,208,11,1,12,16,26,0,20,80,0,580,271,104,205,1,1,7,73,0,5,,,,,76,1
新潟県,1,,0,,,,0,,0,0,0,,0,0,,0,0,0,0,,,0,0,,,,,,,0,0
富山県,4,,1,,,,1,0,1,,0,,0,0,,,,,,0,,,,,,,,,,,0
石川県,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,
福井県,1,,0,,,,0,0,,,,,,0,,,,,,,,,1,,,,,,,,
山梨県,47,,1,,1,,,0,,,3,,0,3,,31,31,,0,,,0,6,,1,,,,,2,
長野県,6,,0,,,,0,0,0,5,0,,,0,,,,,,0,,,0,,,,,,,,
岐阜県,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
静岡県,4,,,,,,,,,,1,,0,1,,0,0,,,,,1,1,0,,,,,,0,
愛知県,1,,0,,,,0,0,,0,0,,0,0,,,,,,,,,0,,,,,,,0,
三重県,2,,,,,,,0,0,,0,,,,,,,,,0,,,1,1,,,,,,,
