全業種種類別減量化量,(千t),(％)
建設汚泥,605,35.3
その他の汚泥,528,30.8
木くず,245,14.3
廃プラスチック類,93,5.4
廃油,26,1.5
その他,218,12.7
減量化量計,1715,100
,,
,,
,,
