,汚泥（千t）,その他（千t）,合計（千t）
昭和57年度,34,,34
昭和62年度,16,,16
平成04年度,51,,51
平成09年度,62,,62
平成10年度,64,,64
平成11年度,68,,68
平成12年度,64,,64
平成13年度,80,,80
平成14年度,75,,75
平成15年度,49,,49
平成16年度,69,,69
平成17年度,71,,72
平成18年度,73,,73
平成19年度,74,,74
平成20年度,45,,45
平成21年度,150,,150
平成22年度,326,,326
平成23年度,44,,44
平成24年度,46,,46
平成25年度,10,2,12
