全業種排出量,(千t),(％)
医療，福祉,35,39.6
製造業,34,38.6
建設業,9,10.3
学術，専門,6,6.7
生活，娯楽業,2,1.9
教育，学習,2,1.8
その他,1,1.2
"特別管理産業廃棄物
排出量計",89,100.0
,,
