全業種排出量,(千t),(％)
建設業,9355,38.0
製造業,1242,5.0
上下水道業,13538,55.0
その他,458,1.9
合　計,24592,100.0
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
