,平成２４年度（千t）,平成２５年度（千t）,,,
合計,23566,24592,,,
建設業,8172,9355,,,
製造業,991,1242,,,
上下水道業,13779,13538,,,
農業，林業,56,42,,,
電気・ガス・熱供給業,26,26,,,
情報通信業,42,16,,,
運輸業,79,46,,,
卸売，小売業,101,106,,,
不動産業,84,68,,,
学術，専門,62,31,,,
宿泊，飲食業,58,28,,,
生活，娯楽業,21,3,,,
教育，学習,5,24,,,
医療，福祉,48,59,,,
サービス業,0,4,,,
自動車整備業,42,4,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
