年度,がれき類（千t）,汚泥（千t）,混合廃棄物（千t）,木くず（千t）,ガラス・陶磁器くず（千t）,石綿含有産業廃棄物（千t）,その他（千t）,合計（千t）,
25,5799,2285,311,301,245,34,381,9355,
24,4769,2450,276,240,193,22,222,8172,
,,,,,,,,,
