年度,合計（千t）,上水汚泥（千t）,下水汚泥（千t）,建設汚泥（千t）,その他の汚泥（千t）,廃プラスチック類（千t）,木くず（千t）,金属くず（千t）,ガラス・陶磁器くず（千t）,がれき類（千t）,混合廃棄物（千t）,その他（千t）
24,23566,539,13240,2437,478,299,275,160,656,4799,332,351
25,24592,468,13066,2285,643,311,349,147,680,5868,336,440
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
