,全業種合計（千t）,建設業（千t）,製造業（千t）,上下水道業（千t）,農業，林業（千t）,電気・ガス・熱供給業（千t）,情報通信業（千t）,運輸業（千t）,卸売，小売業（千t）,不動産業（千t）,学術，専門（千t）,宿泊，飲食業（千t）,生活，娯楽業（千t）,教育，学習（千t）,医療，福祉（千t）,サービス業（千t）（自動車整備業を除く）,自動車整備業（千t）,
合計,24738,9364,1348,13538,42,26,24,47,115,68,42,28,3,24,59,4,4,
燃え殻,3,0,0,2,,0,,,0,,,,,,0,,,
汚泥,16466,2460,439,13536,,0,1,0,8,3,7,7,,2,2,,0,
汚泥（内、上水汚泥）,469,,,469,,,,,,,,,,,,,,
汚泥（内、下水汚泥）,13066,,,13066,,,,,,,,,,,,,,
汚泥（内、建設汚泥）,2285,2285,,,,,,,,,,,,,,,,
汚泥（内、その他の汚泥）,646,175,439,1,,0,1,0,8,3,7,7,,2,2,,0,
廃油,34,6,16,0,,0,0,2,5,0,1,2,0,0,0,,1,
廃酸,35,0,33,0,,,0,,0,0,1,,,0,1,,,
廃アルカリ,33,1,27,,,0,0,0,0,0,5,,,0,0,,0,
廃プラスチック類,333,82,90,0,0,0,14,23,55,14,16,7,1,12,16,1,1,
ゴムくず,0,0,0,,,,0,0,0,0,,,,,0,,,
金属くず,206,77,65,0,0,0,3,12,15,14,1,9,0,4,3,0,1,
ガラス・陶磁器くず,697,245,431,0,,0,0,3,4,5,0,3,0,1,1,3,0,
鉱さい,46,4,42,,,,,0,0,,,,,,,,,
がれき,5868,5799,36,0,0,18,,0,3,10,2,,,,,0,0,
がれき（内、コンクリート塊）,3701,3652,24,0,0,17,,0,2,4,2,,,,,,,
がれき（内、ア ス フ  ァ ル  ト  ･  コ  ン  ク  リ ー  ト  塊）,1019,1002,12,0,,1,,,,4,,,,,,,,
がれき（内、その他のがれき類）,1148,1145,0,,,0,,0,0,3,0,,,,,0,0,
石綿含有産業破棄物,40,34,0,,,6,0,,,0,0,,,,0,,,
ばいじん,6,0,5,0,,1,,,,,,,,,,,,
紙くず,75,30,44,,,,,,,1,,,,,,,,
木くず,349,301,19,,1,0,,4,19,6,,,,,,,,
繊維くず,6,6,0,,,,,,,,,,,,,,,
動植物性残さ,62,,62,,,,,,,,,,,,,,,
動物系固形不要物,,,,,,,,,,,,,,,,,,
動物のふん尿,41,,,,41,,,,,,,,,,,,,
動物の死体,,,,,,,,,,,,,,,,,,
政令13号物,0,0,,,,,,,,,,,,,,,,
混合廃棄物,336,311,1,0,,0,3,2,2,14,2,0,,0,0,0,,
その他,12,0,2,0,,,2,1,2,0,0,,,3,1,,1,
特別管理産業廃棄物,89,9,34,0,,0,0,,1,,6,0,2,2,35,,0,
廃油,5,0,2,,,,,,1,,0,,0,1,0,,0,
廃酸,21,0,20,,,0,,,0,,1,,,0,0,,,
廃アルカリ,2,0,2,,,0,,,0,,0,,,0,0,,,
感染性廃棄物,37,,0,,,,0,,0,,1,0,,0,35,,,
特定有害廃棄物,25,9,10,0,,0,,,0,,3,0,1,1,0,,,
特定有害廃棄物（内、廃PCB等）,3,0,0,0,,0,,,0,,2,0,,,,,,
特定有害廃棄物（内、廃石綿等）,9,9,0,,,0,,,,,,,,,,,,
特定有害廃棄物（内、その他の）,13,0,10,,,,,,0,,1,,1,1,0,,,
特定有害廃棄物（内、その他の指 定 下 水 道 汚 泥）,1,,0,,,,,,0,,0,,1,,,,,
特定有害廃棄物（内、その他の鉱 さ い）,,,,,,,,,,,,,,,,,,
特定有害廃棄物（内、その他の燃 え 殻）,0,0,,,,,,,,,,,,,,,,
特定有害廃棄物（内、その他のば い じ ん）,7,0,7,,,,,,,,,,,,,,,
特定有害廃棄物（内、その他の廃 油）,2,,1,,,,,,0,,0,,0,1,0,,,
特定有害廃棄物（内、その他の汚泥）,0,0,0,,,,,,0,,0,,0,,0,,,
特定有害廃棄物（内、その他の廃酸）,1,0,0,,,,,,0,,0,,,0,0,,,
特定有害廃棄物（内、その他の廃アルカリ）,2,0,2,,,,,,,,0,,0,,0,,,
