最終処分量,上下水道業（千t）,建設業（千t）,製造業（千t）,その他（千t）,合計（千t）,,
昭和57年,600,2140,403,55,3198,,
昭和62年,389,3680,373,80,4522,,
平成04年度,362,5269,368,71,6070,,
平成09年度,175,2862,172,41,3250,,
平成10年度,232,3036,141,34,3443,,
平成11年度,119,1408,172,39,1738,,
平成12年度,106,2019,146,46,2317,,
平成13年度,54,1932,184,52,2222,,
平成14年度,63,1990,369,48,2470,,
平成15年度,33,1023,358,78,1493,,
平成16年度,31,1232,245,68,1576,,
平成17年度,90,802,153,136,1181,,
平成18年度,28,998,208,172,1405,,
平成19年度,27,845,170,121,1164,,
平成20年度,29,604,200,197,1030,,
平成21年度,22,554,98,165,839,,
平成22年度,17,507,147,115,786,,
平成23年度,93,590,252,96,1031,,
平成24年度,104,436,238,99,877,,
平成25年度,89,499,105,55,747,,
