,建設業（千t）,製造業（千t）,その他（千t）,合計（千t）
昭和57年,4987,2159,111,7257
昭和62年,6976,2208,177,9361
平成04年度,9165,2336,176,11677
平成09年度,9472,2267,361,12100
平成10年度,10054,2013,304,12371
平成11年度,10092,1881,294,12267
平成12年度,8859,1583,317,10759
平成13年度,9694,1761,386,11841
平成14年度,8928,1749,174,10851
平成15年度,8753,1774,424,10952
平成16年度,9459,1343,406,11209
平成17年度,8133,1096,471,9700
平成18年度,9310,1289,712,11312
平成19年度,9029,1473,544,11045
平成20年度,7039,1147,642,8828
平成21年度,7479,790,634,8903
平成22年度,7309,754,625,8688
平成23年度,7686,976,609,9271
平成24年度,8172,991,624,9787
平成25年度,9355,1242,458,11055
