全業種種類別最終処分量,(千t),(％),
上水汚泥,26,3.5,
下水汚泥,62,8.3,
建設汚泥,51,6.9,
その他の汚泥,16,2.2,
廃プラスチック類,36,4.8,
木くず,3,0.4,
ガラス・陶磁器くず,139,18.6,
がれき類,223,29.8,
混合廃棄物,145,19.4,
その他,46,6.1,
最終処分量計,747,100.0,
,,,
,,,
,,,
,,,
