処分先,合計（千t）,燃え殻（千t）,汚泥（千t）,汚泥（内、上水汚泥）（千t）,汚泥（内、下水汚泥）（千t）,汚泥（内、建設汚泥）（千t）,汚泥（内、その他の汚泥）（千t）,廃油（千t）,廃酸（千t）,廃アルカリ（千t）,廃プラスチック類（千t）,ゴムくず（千t）,金属くず（千t）,ガラス・陶磁器くず（千t）,鉱さい（千t）,がれき類（千t）,がれき類（内、コンクリート塊）（千t）,がれき類（内、アスファルト･コンクリート塊）（千t）,がれき類（内、その他のがれき類）（千t）,石綿含有産業廃棄物（千t）,ばいじん（千t）,紙くず（千t）,木くず（千t）,繊維くず（千t）,動植物性残さ（千t）,動物系固形不要物（千t）,動物のふん尿（千t）,動物の死体（千t）,政令13号物（千t）,混合廃棄物（千t）,その他（千t）,,処分先,特別管理産業廃棄物（千t）,特別管理産業廃棄物（内、廃油）（千t）,特別管理産業廃棄物（内、廃酸）（千t）,特別管理産業廃棄物（内、廃アルカリ）（千t）,特別管理産業廃棄物（内、感染性廃棄物）（千t）,特別管理産業廃棄物（内、特定有害廃棄物）（千t）,特別管理産業廃棄物（内、特定有害廃棄物内、廃ＰＣＢ等）（千t）,特別管理産業廃棄物（内、特定有害廃棄物内、廃石綿等）（千t）,特別管理産業廃棄物（内、特定有害廃棄物内、その他）（千t）,特別管理産業廃棄物（内、特定有害廃棄物内、その他内、指定下水道汚泥）（千t）,特別管理産業廃棄物（内、特定有害廃棄物内、その他内、鉱さい）（千t）,特別管理産業廃棄物（内、特定有害廃棄物内、その他内、燃え殻）（千t）,特別管理産業廃棄物（内、特定有害廃棄物内、その他内、ばいじん）（千t）,特別管理産業廃棄物（内、特定有害廃棄物内、その他内、廃油）（千t）,特別管理産業廃棄物（内、特定有害廃棄物内、その他内、汚泥）（千t）,特別管理産業廃棄物（内、特定有害廃棄物内、その他内、廃酸）（千t）,特別管理産業廃棄物（内、特定有害廃棄物内、その他内、廃アルカリ）（千t）,,
合計,349,0,22,,,,22,6,2,6,88,0,47,17,0,31,23,5,3,6,1,1,10,0,,,41,,,21,7,,合計,43,2,1,0,35,5,2,0,3,1,,,,1,0,0,0,,
北海道,0,,0,,,,0,,0,,0,,0,0,,,,,,,,,,,,,,,,,0,,北海道,0,,,,0,0,,,0,,,,,,0,0,,,
青森県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青森県,,,,,,,,,,,,,,,,,,,
岩手県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,岩手県,,,,,,,,,,,,,,,,,,,
宮城県,0,,0,,,,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,宮城県,,,,,,,,,,,,,,,,,,,
秋田県,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,秋田県,0,,,,,0,,,0,,,,,0,,0,0,,
山形県,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,山形県,,,,,,,,,,,,,,,,,,,
福島県,1,,0,,,,0,0,0,0,0,,,0,,,,,,,,,0,,,,,,,,,,福島県,1,0,0,0,0,0,,,0,0,,,,0,,0,0,,
茨城県,7,,0,,,,0,0,0,0,0,,0,0,,6,6,,,,0,,,,,,,,,,,,茨城県,1,0,,0,1,0,,0,,,,,,,,,,,
栃木県,4,,1,,,,1,0,0,,3,,,,,,,,,,,,0,,,,,,,,,,栃木県,0,0,,,,0,,,0,,,,,,,,0,,
群馬県,2,,,,,,,0,0,,0,,0,0,,0,,,0,,,,,,,,,,,0,,,群馬県,1,0,,,1,,,,,,,,,,,,,,
埼玉県,38,,7,,,,7,2,0,0,7,0,3,4,,7,3,3,1,,,,3,,,,,,,3,0,,埼玉県,2,0,0,0,2,0,,,0,,,,,0,,0,0,,
千葉県,13,,1,,,,1,1,0,0,2,,2,1,,0,,,0,,,,0,,,,,,,0,0,,千葉県,7,1,,,4,2,,,2,1,,,,1,,0,0,,
