,再生利用量（千t）,減量化量（千t）,最終処分量（千t）,排出量（千t）,再生利用率（%）,減量化率（%）,最終処分率（%）
燃え殻,2,0,0,3,88.9,2.4,8.7
汚泥計,1737,14569,156,16462,10.6,88.5,0.9
（上水汚泥）,2,441,26,468,0.4,94.1,5.6
（下水汚泥）,8,12995,62,13066,0.1,99.5,0.5
（建設汚泥）,1628,605,51,2285,71.3,26.5,2.2
（その他の汚泥）,99,528,16,643,15.3,82.1,2.6
廃油,5,26,0,31,17.2,82.4,0.4
廃酸,7,27,0,34,20.3,79.7,0.0
廃アルカリ,3,31,0,33,8.7,91.3,0.1
廃プラスチック類,182,93,36,311,58.4,29.9,11.6
ゴムくず,0,0,0,0,87.4,10.1,2.5
金属くず,133,,13,147,90.9,,9.1
ガラス・陶磁器等くず,516,25,139,680,75.9,3.7,20.4
鉱さい,45,,1,46,96.9,,3.1
がれき類,5635,10,223,5868,96.0,0.2,3.8
石綿含有産業廃棄物,25,,15,40,63.6,,36.4
ばいじん,3,,3,6,51.3,,48.7
紙くず,22,26,0,49,45.4,53.7,0.8
木くず,101,245,3,349,28.9,70.3,0.9
繊維くず,1,4,0,6,25.7,74.0,0.3
動植物性残さ,25,24,0,49,50.7,49.1,0.2
動物のふん尿,27,15,,41,64.3,35.7,
政令13号物,,,,,,,
混合廃棄物,191,,145,336,56.9,,43.1
その他,10,,2,12,81.1,,18.9
特別管理産業廃棄物,4,29,3,37,11.2,79.7,9.1
（感染性廃棄物）,7,21,0,27,24.5,75.4,0.1
（特定有害産業廃棄物）,12,6,7,25,47.8,24.2,28.0
合　計,8693.79,15151.55,747.11,24592.44,35.4,61.6,3.0
,,,,,,,
