,上下水道業等の排出量（千t）,上下水道業等を除く産業廃棄物排出量（千t）,総排出量（千t）,
昭和57年,10021,7257,17278,
昭和62年,12592,9361,21953,
平成04年度,13111,11677,24788,
平成09年度,11888,12100,23988,
平成10年度,12354,12371,24725,
平成11年度,13319,12267,25586,
平成12年度,14281,10759,25040,
平成13年度,13376,11841,25217,
平成14年度,12652,10851,23503,
平成15年度,12625,10952,23576,
平成16年度,11202,11209,22411,
平成17年度,11019,9700,20720,
平成18年度,13136,11312,24448,
平成19年度,13062,11045,24107,
平成20年度,13084,8828,21912,
平成21年度,14286,8903,23189,
平成22年度,13877,8688,22565,
平成23年度,14483,9271,23754,
平成24年度,13779,9787,23566,
平成25年度,13538,11055,24592,
